iterations,fitness,time,fevals
0,22.0,0.00144073,579
10,25.0,0.002560252,1059
20,38.0,0.003715178,1554
30,41.0,0.004955563,2040
40,41.0,0.005598805,2518
50,44.0,0.006180026,2989
60,42.0,0.006822956,3469
70,42.0,0.007419965,3949
80,43.0,0.009850659,4429
90,42.0,0.010467758,4899
100,45.0,0.011750402,5390
110,43.0,0.013046342,5886
120,42.0,0.013680937,6363
130,43.0,0.014267104,6848
140,43.0,0.014883959,7328
150,44.0,0.015498271,7808
160,44.0,0.016102437,8283
170,45.0,0.016726408,8755
180,44.0,0.017376458,9239
190,45.0,0.018387976,9715
200,45.0,0.019794448,10197
210,45.0,0.028620098,10687
220,44.0,0.030558683,11170
230,45.0,0.031438963,11662
240,45.0,0.032760593,12147
250,45.0,0.033383381,12625
260,45.0,0.03463263,13116
270,46.0,0.035259103,13594
280,45.0,0.035906473,14072
290,46.0,0.036543077,14552
300,47.0,0.037173052,15038
310,47.0,0.037786997,15518
320,49.0,0.038459304,16007
330,49.0,0.040970726,16491
340,49.0,0.041594827,16970
350,50.0,0.042399725,17458
360,50.0,0.043523947,17938
370,50.0,0.044259544,18439
380,50.0,0.044896888,18936
390,50.0,0.045695513,19425
400,51.0,0.046506619,19921
410,50.0,0.047322248,20405
420,50.0,0.049398958,20896
430,49.0,0.054293863,21381
440,49.0,0.065308999,21867
450,50.0,0.066205696,22344
460,50.0,0.066846529,22821
470,50.0,0.067820221,23296
480,50.0,0.068403078,23782
490,50.0,0.068998435,24260
500,50.0,0.069631504,24752
510,53.0,0.070279837,25228
520,52.0,0.070901242,25698
530,53.0,0.071547459,26180
540,53.0,0.072134685,26665
550,54.0,0.07273151,27151
560,55.0,0.073349309,27620
570,54.0,0.07381649,28103
580,54.0,0.074452183,28589
590,54.0,0.074908694,29072
600,54.0,0.075514348,29549
610,54.0,0.07596712,30014
620,53.0,0.07660529,30494
630,53.0,0.077627602,30974
640,54.0,0.078248843,31461
650,54.0,0.079242189,31943
660,54.0,0.080160141,32429
670,55.0,0.082887149,32912
680,55.0,0.08364231,33394
690,55.0,0.084375071,33871
700,56.0,0.085249217,34339
710,57.0,0.085879941,34811
720,57.0,0.086485145,35295
730,57.0,0.087102979,35790
740,59.0,0.087721889,36267
750,60.0,0.088521337,36749
760,59.0,0.08916388,37235
770,62.0,0.08977352,37731
780,63.0,0.090764152,38212
790,63.0,0.091330308,38704
800,64.0,0.0922221,39198
810,64.0,0.092884448,39694
820,64.0,0.094488272,40171
830,64.0,0.095126862,40657
840,63.0,0.095797703,41147
850,63.0,0.096498663,41632
860,63.0,0.097071366,42111
870,63.0,0.09767684,42602
880,63.0,0.098117596,43068
890,61.0,0.098901006,43547
900,63.0,0.099680044,44028
910,63.0,0.10052929,44510
920,62.0,0.10127461,44989
930,65.0,0.101842942,45468
940,64.0,0.10267236,45944
950,63.0,0.103307744,46413
960,63.0,0.103900391,46879
970,63.0,0.10442898,47353
980,64.0,0.105052168,47837
990,63.0,0.105703116,48321
1000,63.0,0.106269279,48806
1010,63.0,0.106813183,49295
1020,64.0,0.10742953,49772
1030,65.0,0.108397052,50246
1040,66.0,0.108933691,50721
1050,67.0,0.109464936,51210
1060,66.0,0.110063618,51690
1070,70.0,0.110793359,52178
1080,67.0,0.11186644,52669
1090,66.0,0.112860028,53143
1100,70.0,0.113697069,53621
1110,70.0,0.11437843,54106
1120,71.0,0.114903145,54576
1130,73.0,0.115426394,55049
1140,73.0,0.11599921,55532
1150,73.0,0.116625228,56007
1160,74.0,0.117226004,56502
1170,72.0,0.117852269,56978
1180,73.0,0.118346788,57459
1190,71.0,0.11894657,57945
1200,72.0,0.119387349,58435
1210,73.0,0.119927167,58924
1220,72.0,0.120504667,59407
1230,72.0,0.121051333,59889
1240,72.0,0.122045264,60374
1250,72.0,0.1228428,60853
1260,73.0,0.124921029,61319
1270,72.0,0.125554695,61797
1280,72.0,0.126138091,62288
1290,72.0,0.126686933,62774
1300,72.0,0.127218423,63255
1310,74.0,0.127761706,63739
1320,74.0,0.128333165,64221
1330,75.0,0.12889039,64699
1340,75.0,0.129501058,65182
1350,74.0,0.130195611,65670
1360,74.0,0.130762628,66164
1370,75.0,0.131331344,66645
1380,75.0,0.131907974,67120
1390,74.0,0.132488174,67592
1400,73.0,0.133268507,68069
1410,72.0,0.134169188,68547
1420,72.0,0.134734223,69034
1430,72.0,0.135876458,69508
1440,72.0,0.136490888,69983
1450,71.0,0.13710159,70468
1460,72.0,0.137873902,70951
1470,74.0,0.138511843,71435
1480,75.0,0.138921117,71917
1490,74.0,0.139424001,72409
1500,75.0,0.139992719,72902
1510,75.0,0.14057389,73385
1520,74.0,0.141178807,73878
1530,74.0,0.141603489,74361
1540,75.0,0.142204401,74846
1550,75.0,0.142882595,75335
1560,75.0,0.143459815,75830
1570,76.0,0.14463778,76318
1580,75.0,0.145349014,76801
1590,76.0,0.145925754,77275
1600,75.0,0.146572156,77753
1610,75.0,0.147142184,78246
1620,75.0,0.147665619,78722
1630,75.0,0.14819628,79202
1640,76.0,0.148739348,79677
1650,76.0,0.149270236,80168
1660,75.0,0.149808841,80653
1670,76.0,0.150623039,81131
1680,77.0,0.151363144,81603
1690,76.0,0.151925782,82094
1700,76.0,0.152467083,82561
1710,76.0,0.153009088,83051
1720,77.0,0.153549415,83529
1730,76.0,0.154173784,84013
1740,77.0,0.154761803,84502
1750,77.0,0.155311685,84984
1760,77.0,0.155954991,85454
1770,78.0,0.156498222,85941
1780,78.0,0.157022472,86426
1790,75.0,0.157589402,86910
1800,80.0,0.158156628,87396
1810,80.0,0.158690715,87876
1820,80.0,0.159399801,88367
1830,80.0,0.159992945,88850
1840,81.0,0.160599888,89344
1850,80.0,0.161114772,89828
1860,80.0,0.161706074,90325
1870,81.0,0.162239974,90828
1880,81.0,0.162730332,91309
1890,79.0,0.163375534,91797
1900,80.0,0.164197467,92278
1910,80.0,0.165097364,92763
1920,81.0,0.165937759,93230
1930,82.0,0.167578119,93719
1940,82.0,0.168325091,94211
1950,81.0,0.168887899,94696
1960,81.0,0.169445745,95185
1970,82.0,0.170011968,95660
1980,81.0,0.170540383,96141
1990,82.0,0.171084917,96630
2000,81.0,0.171629855,97115
2010,82.0,0.172159883,97593
2020,82.0,0.172730762,98075
2030,82.0,0.173279981,98543
2040,82.0,0.173723786,99017
2050,83.0,0.174271813,99490
2060,82.0,0.17491547,99972
2070,83.0,0.175368992,100455
2080,82.0,0.175934646,100943
2090,83.0,0.176461595,101429
2100,83.0,0.177793698,101907
2110,83.0,0.178341812,102397
2120,83.0,0.178870137,102870
2130,82.0,0.179442535,103352
2140,83.0,0.179972699,103836
2150,82.0,0.180567343,104300
2160,83.0,0.181124501,104782
2170,83.0,0.18172853,105270
2180,82.0,0.182340588,105750
2190,81.0,0.182935153,106230
2200,82.0,0.183518953,106732
2210,81.0,0.184121915,107216
2220,80.0,0.184704728,107693
2230,80.0,0.185286071,108160
2240,80.0,0.185923967,108655
2250,81.0,0.1864742,109132
2260,81.0,0.189272123,109617
2270,81.0,0.189864712,110106
2280,79.0,0.190411191,110591
2290,81.0,0.191003159,111078
2300,81.0,0.19161111,111553
2310,79.0,0.19223008,112032
2320,79.0,0.192822989,112501
2330,80.0,0.193649761,112981
2340,80.0,0.194396221,113463
2350,80.0,0.195227829,113945
2360,81.0,0.196048564,114420
2370,81.0,0.196673636,114896
2380,82.0,0.19725062,115361
2390,82.0,0.198209387,115842
2400,82.0,0.203677247,116333
2410,80.0,0.205296305,116812
2420,80.0,0.205839048,117287
2430,82.0,0.206387923,117770
2440,82.0,0.206949905,118263
2450,81.0,0.2074802,118742
2460,81.0,0.208014578,119220
2470,81.0,0.208668949,119704
2480,81.0,0.20920791,120183
2490,80.0,0.209939503,120657
2500,81.0,0.212910056,121142
2510,81.0,0.214267647,121624
2520,80.0,0.214864106,122112
2530,81.0,0.215427925,122613
2540,78.0,0.215829985,123094
2550,78.0,0.216422458,123576
2560,78.0,0.217003754,124056
2570,80.0,0.217557405,124545
2580,80.0,0.218151693,125008
2590,79.0,0.218747617,125493
2600,79.0,0.219497454,125983
