iterations,fitness,time,fevals
0,30.0,0.130977102,1000
10,39.0,0.249064229,2100
20,41.0,0.343366665,3200
30,43.0,0.434563665,4300
40,45.0,0.534013734,5400
50,43.0,0.62425884,6500
60,43.0,0.718308233001,7600
70,45.0,0.808902656001,8700
80,45.0,0.902053790001,9800
90,45.0,0.996888005001,10900
100,45.0,1.081692425,12000
110,44.0,1.297547324,13100
120,45.0,1.395051552,14200
130,45.0,1.488326215,15300
140,44.0,1.583876041,16400
150,47.0,1.67865981,17500
160,45.0,1.764740791,18600
170,46.0,1.853305406,19700
180,45.0,1.944212027,20800
190,44.0,2.03093747,21900
200,45.0,2.116438458,23000
210,44.0,2.198503441,24100
220,45.0,2.293187704,25200
230,45.0,2.388123057,26300
240,45.0,2.479142768,27400
250,46.0,2.568007892,28500
260,46.0,2.649401345,29600
270,46.0,2.737861118,30700
280,46.0,2.840672865,31800
290,47.0,2.932431118,32900
300,47.0,3.15379151,34000
310,47.0,3.253221837,35100
320,47.0,3.344182382,36200
330,47.0,3.440949297,37300
340,49.0,3.527720396,38400
350,47.0,3.622238175,39500
360,48.0,3.729439885,40600
370,48.0,3.825919545,41700
380,48.0,3.93080719,42800
390,46.0,4.032332444,43900
400,47.0,4.126967099,45000
410,47.0,4.226301719,46100
420,46.0,4.31127335,47200
430,47.0,4.404788051,48300
440,48.0,4.492634177,49400
450,49.0,4.582652843,50500
460,48.0,4.674968459,51600
470,48.0,4.767798289,52700
480,48.0,4.856856185,53800
490,48.0,4.952947996,54900
500,48.0,5.04759112,56000
510,48.0,5.279728394,57100
520,49.0,5.412435264,58200
530,50.0,5.509181382,59300
540,49.0,5.609129901,60400
550,50.0,5.698786068,61500
560,50.0,5.79804323,62600
570,49.0,5.888179889,63700
580,50.0,5.97102308,64800
590,49.0,6.050375802,65900
600,50.0,6.134776373,67000
610,49.0,6.225445761,68100
620,50.0,6.317608621,69200
630,49.0,6.432731108,70300
640,51.0,6.522415114,71400
650,50.0,6.618080844,72500
660,50.0,6.711836773,73600
670,49.0,6.805883684,74700
680,50.0,6.896160235,75800
690,50.0,6.987053641,76900
700,51.0,7.077064108,78000
710,50.0,7.33358558,79100
720,50.0,7.427221074,80200
730,49.0,7.526132309,81300
740,50.0,7.626023498,82400
750,53.0,7.72421753,83500
760,49.0,7.817511729,84600
770,50.0,7.921739833,85700
780,50.0,8.013674876,86800
790,49.0,8.096125764,87900
800,50.0,8.182943179,89000
810,50.0,8.264109961,90100
820,50.0,8.363181587,91200
830,49.0,8.457572778,92300
840,50.0,8.55343068,93400
850,49.0,8.645045904,94500
860,49.0,8.737969961,95600
870,49.0,8.822528668,96700
880,50.0,8.924509608,97800
890,50.0,9.093025758,98900
900,51.0,9.182559476,100000
910,49.0,9.278970394,101100
920,51.0,9.368784541,102200
930,51.0,9.459740495,103300
940,49.0,9.550509349,104400
950,50.0,9.637598676,105500
960,51.0,9.778161486,106600
970,49.0,9.91574937,107700
980,51.0,10.031528702,108800
990,49.0,10.165251867,109900
1000,50.0,10.279184231,111000
1010,50.0,10.393219935,112100
1020,50.0,10.497535917,113200
1030,51.0,10.592815173,114300
1040,51.0,10.707586388,115400
1050,50.0,10.821469598,116500
1060,51.0,10.931888612,117600
1070,50.0,11.032916876,118700
1080,51.0,11.159691229,119800
1090,51.0,11.295132752,120900
1100,50.0,11.434095069,122000
1110,51.0,11.572726643,123100
1120,51.0,11.834296726,124200
1130,51.0,11.995814137,125300
1140,50.0,12.367586567,126400
1150,51.0,12.603025035,127500
1160,51.0,12.788335858,128600
1170,51.0,12.959191278,129700
1180,56.0,13.076919558,130800
1190,50.0,13.182383652,131900
1200,52.0,13.294249602,133000
1210,52.0,13.461254691,134100
1220,52.0,13.577387265,135200
1230,52.0,13.671033287,136300
1240,51.0,13.766090521,137400
1250,52.0,13.863985597,138500
1260,51.0,13.966106548,139600
1270,52.0,14.129330249,140700
1280,52.0,14.253040567,141800
1290,53.0,14.370061507,142900
1300,53.0,14.501027429,144000
1310,54.0,14.629189061,145100
1320,54.0,14.993353493,146200
1330,56.0,15.187118457,147300
1340,55.0,15.323025327,148400
1350,54.0,15.478279526,149500
1360,55.0,15.733442635,150600
1370,54.0,15.924535139,151700
1380,53.0,16.232792933,152800
1390,53.0,16.399525179,153900
1400,54.0,16.620556525,155000
1410,56.0,16.74293352,156100
1420,56.0,16.844285778,157200
1430,56.0,16.951868407,158300
1440,56.0,17.054157912,159400
1450,55.0,17.291015069,160500
1460,56.0,17.499037076,161600
1470,56.0,17.674937576,162700
1480,58.0,17.840837314,163800
1490,55.0,18.018573078,164900
1500,58.0,18.233048373,166000
1510,56.0,18.436964761,167100
1520,59.0,18.767976036,168200
1530,59.0,18.945013629,169300
1540,63.0,19.100436034,170400
1550,64.0,19.238891378,171500
1560,63.0,19.37925217,172600
1570,63.0,19.493482755,173700
1580,64.0,19.663400543,174800
1590,64.0,20.005360253,175900
1600,62.0,20.288213195,177000
1610,58.0,20.642605796,178100
1620,66.0,20.748854377,179200
1630,63.0,20.843773908,180300
1640,86.0,20.947759304,181400
1650,64.0,21.1223023,182500
1660,69.0,21.273836906,183600
1670,83.0,21.418620331,184700
1680,69.0,21.539596189,185800
1690,83.0,21.65607966,186900
1700,66.0,21.769437389,188000
1710,69.0,21.870720603,189100
1720,82.0,21.974475714,190200
1730,69.0,22.082204003,191300
1740,83.0,22.203615829,192400
1750,70.0,22.33237779,193500
1760,68.0,22.428868768,194600
1770,83.0,22.546435684,195700
1780,69.0,22.664238853,196800
1790,69.0,22.796121906,197900
1800,83.0,22.934550655,199000
1810,65.0,23.327104117,200100
1820,69.0,23.448475266,201200
1830,69.0,23.581971421,202300
1840,82.0,23.751299762,203400
1850,67.0,23.872277466,204500
1860,68.0,23.988450025,205600
1870,68.0,24.177207871,206700
1880,68.0,24.36410605,207800
1890,83.0,24.526342686,208900
1900,86.0,24.625881232,210000
1910,84.0,24.721989297,211100
1920,84.0,24.816083197,212200
1930,87.0,25.000510992,213300
1940,84.0,25.121540023,214400
1950,83.0,25.214997905,215500
1960,84.0,25.309600996,216600
1970,85.0,25.398409569,217700
1980,84.0,25.496330183,218800
1990,83.0,25.583687641,219900
2000,84.0,25.67499503,221000
2010,83.0,25.937914958,222100
2020,84.0,26.07196591,223200
2030,84.0,26.1931883,224300
2040,85.0,26.34233034,225400
2050,83.0,26.44824167,226500
2060,84.0,26.557666249,227600
2070,84.0,26.669953365,228700
2080,84.0,26.760613311,229800
2090,84.0,26.854274606,230900
2100,85.0,26.963219064,232000
2110,83.0,27.048239952,233100
2120,84.0,27.134627186,234200
2130,84.0,27.257220823,235300
2140,84.0,27.37655114,236400
2150,86.0,27.494368621,237500
2160,85.0,27.61621691,238600
2170,85.0,27.776006,239700
2180,86.0,27.88574257,240800
2190,84.0,27.973940576,241900
2200,86.0,28.071962261,243000
2210,85.0,28.370555759,244100
2220,86.0,28.472939239,245200
2230,83.0,28.576998878,246300
2240,85.0,28.662084132,247400
2250,83.0,28.751610936,248500
2260,83.0,28.849196708,249600
2270,86.0,28.975544165,250700
2280,84.0,29.082715323,251800
2290,84.0,29.170676773,252900
2300,84.0,29.258790767,254000
2310,84.0,29.357224797,255100
2320,86.0,29.463492436,256200
2330,86.0,29.566434242,257300
2340,85.0,29.671639989,258400
2350,84.0,29.763323775,259500
2360,86.0,29.845323952,260600
2370,83.0,29.926543756,261700
2380,84.0,30.009147846,262800
2390,84.0,30.096101758,263900
2400,84.0,30.173225528,265000
2410,84.0,30.263224412,266100
2420,83.0,30.346981308,267200
2430,83.0,30.434925924,268300
2440,84.0,30.562049965,269400
2450,85.0,30.734318382,270500
2460,83.0,30.838918518,271600
2470,84.0,30.940340384,272700
2480,84.0,31.038414052,273800
2490,86.0,31.130736828,274900
2500,84.0,31.244362026,276000
2510,84.0,31.349008424,277100
2520,84.0,31.462084706,278200
2530,83.0,31.631328994,279300
2540,83.0,31.762061154,280400
2550,86.0,31.853780753,281500
2560,84.0,31.935575381,282600
2570,85.0,32.019908361,283700
2580,84.0,32.105398516,284800
2590,84.0,32.219408096,285900
2600,87.0,32.363636434,287000
2610,84.0,32.455126212,288100
2620,84.0,32.534725516,289200
2630,86.0,32.625988626,290300
