iterations,fitness,time,fevals
0,20.0,0.000515006,11
10,20.0,0.000863877,21
20,20.0,0.001184983,31
30,20.0,0.001467187,41
40,20.0,0.001766496,51
50,20.0,0.00196904,61
60,20.0,0.002176432,71
70,20.0,0.002459718,81
80,20.0,0.002653334,91
90,20.0,0.002928855,101
100,20.0,0.003110793,111
110,20.0,0.003393938,121
120,20.0,0.003771324,131
130,20.0,0.003955691,141
140,20.0,0.004069337,151
150,20.0,0.004823535,161
160,21.0,0.004980348,171
170,21.0,0.005128336,181
180,21.0,0.005227211,191
190,21.0,0.005451722,201
200,21.0,0.005602499,211
210,21.0,0.005676481,221
220,21.0,0.005748464,231
230,21.0,0.005867293,241
240,21.0,0.005941831,251
250,21.0,0.00607712,261
260,21.0,0.006240584,271
270,21.0,0.006358257,281
280,21.0,0.006469444,291
290,21.0,0.006589119,301
300,21.0,0.006761402,311
310,21.0,0.006907519,321
320,21.0,0.007049964,331
330,21.0,0.007168564,341
340,21.0,0.007376485,351
350,21.0,0.00746951,361
360,21.0,0.007562025,371
370,22.0,0.007680772,381
380,22.0,0.007804063,391
390,22.0,0.007939946,401
400,22.0,0.00805638,411
410,22.0,0.008234823,421
420,23.0,0.008336972,431
430,23.0,0.008441272,441
440,23.0,0.008540016,451
450,23.0,0.008727142,461
460,23.0,0.008862321,471
470,23.0,0.00897296,481
480,29.0,0.009079269,491
490,29.0,0.009223469,501
500,29.0,0.009356977,511
510,29.0,0.009461095,521
520,29.0,0.009620313,531
530,29.0,0.009719054,541
540,29.0,0.009807792,551
550,29.0,0.009867083,561
560,29.0,0.00992346,571
570,29.0,0.009980114,581
580,30.0,0.010262594,591
590,30.0,0.010840606,601
600,32.0,0.011070794,611
610,32.0,0.011217423,621
620,33.0,0.011282336,631
630,34.0,0.011415831,641
640,34.0,0.011530352,651
650,34.0,0.011624612,661
660,34.0,0.011721225,671
670,34.0,0.011816429,681
680,34.0,0.011919674,691
690,34.0,0.012050837,701
700,34.0,0.012169606,711
710,34.0,0.012254014,721
720,34.0,0.012344461,731
730,34.0,0.012443863,741
740,34.0,0.012542904,751
750,34.0,0.012650209,761
760,34.0,0.012750969,771
770,34.0,0.01285212,781
780,34.0,0.013004177,791
