iterations,fitness,time,fevals
0,13.0,1.96639999999e-05,11
10,14.0,3.22710000003e-05,21
20,14.0,4.44389999998e-05,31
30,14.0,5.6517e-05,41
40,15.0,6.78870000002e-05,51
50,16.0,8.04990000001e-05,61
60,16.0,9.21079999996e-05,71
70,16.0,0.000102727,81
80,17.0,0.00011533,91
90,17.0,0.00012755,101
100,18.0,0.000138988,111
110,18.0,0.000150326,121
120,19.0,0.000162361,131
130,20.0,0.000183933,141
140,21.0,0.000197234,151
150,21.0,0.000208259,161
160,21.0,0.000219854,171
170,21.0,0.00023158,181
180,21.0,0.000242389,191
190,21.0,0.000253885,201
200,21.0,0.000275022,211
210,21.0,0.000285609,221
220,21.0,0.000297143,231
230,21.0,0.00030819,241
240,21.0,0.000319441999999,251
250,21.0,0.000330243,261
260,22.0,0.000340390999999,271
270,23.0,0.000350489999999,281
280,23.0,0.000363373999999,291
290,23.0,0.000374396,301
300,23.0,0.000385013,311
310,23.0,0.00039916,321
320,23.0,0.000411688999999,331
330,23.0,0.000423344999999,341
340,23.0,0.000437105999999,351
350,23.0,0.000449325999999,361
360,23.0,0.000460270999999,371
370,23.0,0.000476200999999,381
380,23.0,0.000494751999999,391
390,23.0,0.000515077999999,401
400,23.0,0.000536229999999,411
410,23.0,0.000551515999999,421
420,23.0,0.000564016999999,431
430,23.0,0.000575200999999,441
440,23.0,0.000586017,451
450,24.0,0.00059894,461
460,24.0,0.000609552999999,471
470,25.0,0.000621784999999,481
480,25.0,0.000636181999999,491
490,25.0,0.000645743999999,501
500,25.0,0.000657865999999,511
510,25.0,0.000668257999999,521
520,25.0,0.000682324,531
530,25.0,0.000695534999999,541
540,25.0,0.000708412999999,551
550,25.0,0.000719315,561
560,25.0,0.000730013999999,571
570,25.0,0.000740692999999,581
580,25.0,0.000752058,591
590,25.0,0.000773602,601
600,25.0,0.000800325999999,611
610,25.0,0.000814795999999,621
620,25.0,0.000826540999999,631
630,25.0,0.000837632,641
640,26.0,0.000846936999999,651
650,26.0,0.000886900999999,661
660,26.0,0.000899526,671
670,26.0,0.000909883999999,681
680,26.0,0.000920610999999,691
690,26.0,0.000931831999999,701
700,26.0,0.000988390999999,711
710,27.0,0.001001889,721
720,27.0,0.001013649,731
730,27.0,0.001025649,741
740,27.0,0.001037046,751
750,27.0,0.001050204,761
760,31.0,0.001062071,771
770,31.0,0.001072703,781
780,31.0,0.001085386,791
790,31.0,0.001096229,801
800,31.0,0.001107623,811
810,31.0,0.001120165,821
820,32.0,0.001131545,831
830,32.0,0.001142447,841
840,32.0,0.001152799,851
850,32.0,0.0011628,861
860,32.0,0.001172471,871
870,32.0,0.001182404,881
880,32.0,0.001192626,891
890,32.0,0.00120313,901
900,32.0,0.001214025,911
910,32.0,0.001223922,921
920,32.0,0.00123429,931
930,32.0,0.001245101,941
940,32.0,0.001255968,951
950,32.0,0.001266029,961
960,32.0,0.001275836,971
970,32.0,0.001285373,981
980,32.0,0.001296739,991
990,32.0,0.001306189,1001
1000,32.0,0.001316565,1011
1010,32.0,0.001327232,1021
1020,33.0,0.001336948,1031
1030,33.0,0.001346088,1041
1040,33.0,0.001356309,1051
1050,33.0,0.001366819,1061
1060,33.0,0.001377947,1071
1070,33.0,0.001388021,1081
1080,33.0,0.001397558,1091
1090,33.0,0.001418866,1101
1100,33.0,0.001431728,1111
