iterations,fitness,time,fevals
0,559.0,0.004608748,731
10,559.0,0.009307785,1363
20,565.0,0.015892018,1989
30,574.0,0.019612656,2632
40,568.0,0.02853345,3274
50,578.0,0.031724321,3897
60,574.0,0.034787136,4526
70,576.0,0.038056874,5152
80,578.0,0.048536825,5788
90,574.0,0.052189962,6435
100,584.0,0.057382545,7054
110,582.0,0.060369898,7678
120,584.0,0.067027813,8320
130,582.0,0.074480452,8946
140,582.0,0.079405556,9578
150,582.0,0.082141068,10203
160,582.0,0.085440411,10827
170,584.0,0.088355619,11456
180,586.0,0.093035068,12088
190,582.0,0.095618672,12725
200,584.0,0.099849099,13346
210,588.0,0.102814464,13980
220,586.0,0.105462993,14619
230,594.0,0.108150713,15251
240,586.0,0.114968609,15898
250,578.0,0.118457903,16523
260,578.0,0.123560024,17164
270,578.0,0.131126812,17790
280,572.0,0.134371502,18423
290,576.0,0.137116602,19055
300,572.0,0.13969601,19683
310,574.0,0.163759318,20310
320,570.0,0.166403885,20943
330,572.0,0.169339619,21588
340,568.0,0.174991103,22211
350,564.0,0.177632729,22838
360,566.0,0.180313057,23470
370,570.0,0.183006874,24105
380,570.0,0.185665681,24743
390,572.0,0.197743987,25364
400,572.0,0.200412308,25997
410,570.0,0.203196475,26625
420,572.0,0.206279522,27250
430,572.0,0.209330912,27886
440,572.0,0.212355301,28514
450,578.0,0.217794129,29139
460,578.0,0.222188676,29755
470,576.0,0.224710199,30385
480,578.0,0.231718235,31016
490,576.0,0.243851169,31645
500,576.0,0.246542601,32271
510,576.0,0.249836316,32901
520,574.0,0.253636223,33538
530,576.0,0.256334842,34159
540,578.0,0.25884597,34779
550,579.0,0.26155079,35414
560,580.0,0.265607029,36044
570,580.0,0.268249191,36675
580,581.0,0.271181253,37301
590,582.0,0.273856093,37931
600,582.0,0.275943736,38562
610,579.0,0.278294552,39206
620,583.0,0.281569019,39832
630,587.0,0.284228854,40461
640,581.0,0.287191098,41088
650,577.0,0.289880487,41730
660,585.0,0.291920883,42359
670,585.0,0.295681239,42990
680,587.0,0.298450262,43627
690,585.0,0.301097768,44269
700,587.0,0.303503717,44904
710,589.0,0.306907786,45529
720,587.0,0.310897855,46170
730,585.0,0.313528025,46802
740,583.0,0.316130422,47433
750,589.0,0.318700271,48057
760,585.0,0.320693654,48694
770,587.0,0.326580778,49329
780,587.0,0.329104735,49947
790,589.0,0.331752053,50575
800,585.0,0.336245882,51201
810,585.0,0.339953461,51825
820,585.0,0.342768259,52461
830,587.0,0.345465033,53092
840,581.0,0.348146156,53732
850,585.0,0.350583183,54360
860,589.0,0.357216093,54998
870,585.0,0.35985861,55620
880,587.0,0.362157163,56268
890,589.0,0.3641923,56885
900,589.0,0.366958142,57515
910,589.0,0.369590298,58143
920,583.0,0.372330906,58776
930,583.0,0.374940713,59403
940,583.0,0.377883551,60025
950,581.0,0.380737945,60663
960,583.0,0.383959723,61295
970,581.0,0.386558215,61924
980,581.0,0.389298313,62562
990,583.0,0.392033092,63178
1000,585.0,0.396584382,63813
1010,587.0,0.399307639,64444
1020,589.0,0.402030637,65067
1030,589.0,0.40391522,65697
1040,593.0,0.406545157,66343
1050,591.0,0.409813139,66970
1060,589.0,0.412411379,67603
1070,581.0,0.414978263,68246
1080,581.0,0.417178594,68881
1090,585.0,0.419995323,69518
1100,581.0,0.423143893,70153
1110,585.0,0.427865393,70782
1120,582.0,0.43202758,71409
1130,583.0,0.439266653,72040
1140,583.0,0.441814462,72678
1150,584.0,0.443878253,73305
1160,581.0,0.446571056,73941
1170,588.0,0.449034838,74587
1180,587.0,0.453457379,75229
1190,591.0,0.45565378,75869
1200,589.0,0.45780847,76502
1210,589.0,0.460571792,77144
