iterations,fitness,time,fevals
0,560.0,11.175311398,1000
10,583.0,21.99413809,2100
20,634.0,32.492931309,3200
30,660.0,42.888566193,4300
40,686.0,52.485563583,5400
50,698.0,61.83171723,6500
60,720.0,70.883614421,7600
70,746.0,79.555703611,8700
80,748.0,87.966416168,9800
90,764.0,96.32710506,10900
100,762.0,104.560014049,12000
110,764.0,112.730215159,13100
120,768.0,120.630396933,14200
130,768.0,128.479017818,15300
140,772.0,136.656150239,16400
150,776.0,144.684680079,17500
160,770.0,152.816181743,18600
170,764.0,160.736544202,19700
180,778.0,168.83128089,20800
190,774.0,176.843776529,21900
200,776.0,184.966848708,23000
210,782.0,193.011911878,24100
220,774.0,200.973353637,25200
230,778.0,208.913036254,26300
240,776.0,216.760580194,27400
250,779.0,224.726818064,28500
260,780.0,232.778979169,29600
270,782.0,240.647257973,30700
280,778.0,248.503589423,31800
290,780.0,256.484509577,32900
300,776.0,265.109296856,34000
310,784.0,275.566605369,35100
320,776.0,285.925887887,36200
330,784.0,296.040294527,37300
340,780.0,304.038622724,38400
350,778.0,312.099331885,39500
360,774.0,320.153606393,40600
370,780.0,327.983112797,41700
380,784.0,336.077520626,42800
390,780.0,343.968840583,43900
400,784.0,351.79799928,45000
410,780.0,359.766777324,46100
420,774.0,367.778820445,47200
430,778.0,375.755916547,48300
440,778.0,383.654860174,49400
450,780.0,391.573853853,50500
460,786.0,399.641570766,51600
470,782.0,407.526071414,52700
480,788.0,415.428468715,53800
490,784.0,423.492523343,54900
500,782.0,431.525743293,56000
510,790.0,439.346824075,57100
520,788.0,446.999166618,58200
530,782.0,455.004984331,59300
540,778.0,463.046381453,60400
550,784.0,471.084890991,61500
560,786.0,478.920872167,62600
570,782.0,486.952645864,63700
580,784.0,494.919378874,64800
590,792.0,502.932598561,65900
600,784.0,511.416001059,67000
610,776.0,519.343235948,68100
620,784.0,527.280186768,69200
630,780.0,535.308143038,70300
640,788.0,543.336893425,71400
650,788.0,551.414701399,72500
660,786.0,559.245887889,73600
670,780.0,567.252448425,74700
680,784.0,575.322371359,75800
690,784.0,583.236741355,76900
700,790.0,591.05453117,78000
710,794.0,598.743359595,79100
720,792.0,606.896181956,80200
730,792.0,614.836947214,81300
740,792.0,622.665284758,82400
750,794.0,630.454830386,83500
760,792.0,638.350211539,84600
770,790.0,646.273487561,85700
780,796.0,654.19760991,86800
790,789.0,661.92622243,87900
800,790.0,669.65841016,89000
810,794.0,677.598762972,90100
820,792.0,685.567608804,91200
830,790.0,693.583475521,92300
840,786.0,701.320057175,93400
850,788.0,709.258974491,94500
860,794.0,717.1407433,95600
870,788.0,724.927844078,96700
880,790.0,732.851458133,97800
890,790.0,740.872902541,98900
900,786.0,748.787561352,100000
910,792.0,756.805877155,101100
920,792.0,764.473465832,102200
930,792.0,772.528382971,103300
940,794.0,781.62284977,104400
950,788.0,792.686887534,105500
960,789.0,800.873474322,106600
970,792.0,808.820107066,107700
980,792.0,816.523316249,108800
990,792.0,825.906938903,109900
1000,796.0,834.310694896,111000
1010,794.0,853.969468054,112100
1020,788.0,862.033747001,113200
1030,792.0,871.558403107,114300
1040,792.0,893.297182813,115400
1050,796.0,904.372361366,116500
1060,791.0,915.128896462,117600
1070,786.0,933.015461416,118700
1080,786.0,942.168862306,119800
1090,794.0,950.073452843,120900
1100,790.0,970.91744974,122000
1110,794.0,980.661952903,123100
1120,790.0,991.295938873,124200
1130,794.0,999.606219517,125300
1140,794.0,1008.61681544,126400
1150,792.0,1017.11111223,127500
