iterations,fitness,time,fevals
0,504.0,6.1016e-05,11
10,504.0,0.000138622,21
20,512.0,0.000190574,31
30,514.0,0.000240167,41
40,518.0,0.000290489,51
50,518.0,0.000338311,61
60,520.0,0.001883631,71
70,520.0,0.001933902,81
80,522.0,0.001985784,91
90,524.0,0.002034848,101
100,528.0,0.002085101,111
110,530.0,0.002143983,121
120,532.0,0.002183706,131
130,534.0,0.002229004,141
140,534.0,0.00227283,151
150,536.0,0.002317241,161
160,538.0,0.002370671,171
170,540.0,0.002515815,181
180,542.0,0.002574503,191
190,544.0,0.002631045,201
200,548.0,0.002672973,211
210,548.0,0.002728792,221
220,550.0,0.002774685,231
230,550.0,0.002816694,241
240,554.0,0.003376907,251
250,554.0,0.003418538,261
260,560.0,0.003472666,271
270,560.0,0.003535903,281
280,560.0,0.003578186,291
290,560.0,0.003677011,301
300,562.0,0.003737667,311
310,564.0,0.003787376,321
320,564.0,0.003867914,331
330,564.0,0.003922223,341
340,564.0,0.004704203,351
350,564.0,0.004807657,361
360,568.0,0.004886026,371
370,570.0,0.004933406,381
380,574.0,0.004982726,391
390,574.0,0.005024535,401
400,574.0,0.005062153,411
410,578.0,0.005109838,421
420,578.0,0.005157504,431
430,580.0,0.005205802,441
440,584.0,0.005245612,451
450,586.0,0.005438087,461
460,588.0,0.005495014,471
470,592.0,0.005539663,481
480,594.0,0.005592495,491
490,598.0,0.005651312,501
500,598.0,0.00570573,511
510,600.0,0.00615155,521
520,606.0,0.006258254,531
530,612.0,0.006317719,541
540,614.0,0.006364442,551
550,614.0,0.006406114,561
560,616.0,0.00647012,571
570,616.0,0.006540586,581
580,616.0,0.006596926,591
590,620.0,0.006648066,601
600,620.0,0.006707108,611
610,620.0,0.006758805,621
620,624.0,0.006809138,631
630,628.0,0.00686271,641
640,628.0,0.006902724,651
650,630.0,0.00695088,661
660,630.0,0.006993313,671
670,630.0,0.00703142,681
680,630.0,0.007083704,691
690,632.0,0.007145089,701
700,632.0,0.007200961,711
710,632.0,0.007249244,721
720,632.0,0.00729927,731
730,636.0,0.007353257,741
740,638.0,0.007406006,751
