iterations,fitness,time,fevals
0,497.0,4.03310000001e-05,11
10,499.0,7.02930000003e-05,21
20,503.0,9.6429000001e-05,31
30,507.0,0.000122595000001,41
40,511.0,0.00015033,51
50,507.0,0.000182506000001,61
60,503.0,0.000228794000001,71
70,505.0,0.000257012000001,81
80,507.0,0.000287566000001,91
90,509.0,0.000321079000001,101
100,509.0,0.000350856000001,111
110,515.0,0.000378769000001,121
120,511.0,0.000487050000001,131
130,507.0,0.000521532000001,141
140,505.0,0.000549234000001,151
150,509.0,0.000596072000001,161
160,509.0,0.000624329000001,171
170,509.0,0.000673379000001,181
180,511.0,0.000710308000001,191
190,509.0,0.000753684000001,201
200,513.0,0.000779857000001,211
210,513.0,0.000816440000001,221
220,517.0,0.00114534,231
230,513.0,0.001180365,241
240,515.0,0.00121908,251
250,515.0,0.001250689,261
260,515.0,0.001276747,271
270,509.0,0.001306694,281
280,509.0,0.001341856,291
290,509.0,0.00138051,301
300,509.0,0.001643809,311
310,505.0,0.001938741,321
320,507.0,0.002002319,331
330,505.0,0.002032201,341
340,506.0,0.00207056,351
350,508.0,0.002095688,361
360,512.0,0.002123558,371
370,506.0,0.002148419,381
380,502.0,0.002201372,391
390,508.0,0.002231022,401
400,506.0,0.00225703,411
410,512.0,0.002324041,421
420,512.0,0.002360962,431
430,512.0,0.002471132,441
440,510.0,0.002501327,451
450,512.0,0.002526788,461
460,514.0,0.002550278,471
470,516.0,0.002574187,481
480,518.0,0.002660601,491
490,522.0,0.00270721,501
500,522.0,0.002739999,511
510,524.0,0.002770854,521
520,526.0,0.002813028,531
530,530.0,0.002846906,541
540,530.0,0.0028772,551
550,534.0,0.002902668,561
560,534.0,0.002930471,571
570,540.0,0.002953474,581
580,544.0,0.002977116,591
590,544.0,0.003000214,601
600,546.0,0.003023445,611
610,546.0,0.003047669,621
620,546.0,0.003071444,631
630,548.0,0.003096122,641
640,552.0,0.003120618,651
650,554.0,0.003147671,661
660,558.0,0.003172818,671
670,560.0,0.003196944,681
680,560.0,0.003220159,691
690,562.0,0.00324395,701
700,566.0,0.00328874,711
710,566.0,0.00331322,721
720,568.0,0.003336911,731
730,572.0,0.003360793,741
740,576.0,0.003384807,751
750,576.0,0.003415869,761
760,576.0,0.003441955,771
770,576.0,0.003464737,781
780,576.0,0.003487175,791
790,580.0,0.003511336,801
800,582.0,0.003534725,811
810,584.0,0.003575388,821
820,590.0,0.003601686,831
830,594.0,0.003628071,841
840,594.0,0.003655186,851
850,594.0,0.003680196,861
860,594.0,0.003707009,871
870,594.0,0.003733456,881
880,594.0,0.003762812,891
890,594.0,0.003803137,901
900,596.0,0.003841018,911
910,596.0,0.003895736,921
920,598.0,0.003925537,931
930,598.0,0.00395006,941
940,600.0,0.003974326,951
950,602.0,0.003997516,961
960,604.0,0.004214607,971
970,604.0,0.004245442,981
980,608.0,0.004270178,991
990,608.0,0.00429633,1001
1000,608.0,0.004323254,1011
1010,610.0,0.004350246,1021
1020,612.0,0.004387394,1031
1030,618.0,0.004418015,1041
1040,618.0,0.004451747,1051
1050,620.0,0.00448458,1061
1060,624.0,0.00451576,1071
1070,624.0,0.004554146,1081
1080,624.0,0.004590047,1091
1090,624.0,0.004621016,1101
1100,628.0,0.004648975,1111
1110,630.0,0.004684472,1121
1120,630.0,0.00471678,1131
1130,630.0,0.004759014,1141
1140,630.0,0.004793577,1151
1150,630.0,0.004814203,1161
1160,634.0,0.004834187,1171
1170,634.0,0.004853838,1181
1180,636.0,0.004877342,1191
1190,638.0,0.004906868,1201
1200,642.0,0.004935955,1211
1210,644.0,0.004982532,1221
1220,644.0,0.005018282,1231
1230,644.0,0.005052662,1241
1240,644.0,0.005076739,1251
1250,644.0,0.005100509,1261
1260,644.0,0.005124569,1271
1270,644.0,0.005150764,1281
1280,644.0,0.005174678,1291
1290,644.0,0.005208514,1301
1300,644.0,0.005238209,1311
1310,646.0,0.005262887,1321
1320,650.0,0.005286968,1331
1330,652.0,0.005312316,1341
1340,656.0,0.005349834,1351
1350,658.0,0.00537535,1361
1360,658.0,0.005398368,1371
1370,658.0,0.005420515,1381
1380,660.0,0.005444334,1391
1390,664.0,0.005471628,1401
1400,666.0,0.005495049,1411
1410,666.0,0.005527661,1421
1420,670.0,0.005568657,1431
1430,672.0,0.005593538,1441
1440,672.0,0.005630223,1451
1450,672.0,0.005655121,1461
1460,674.0,0.005679633,1471
1470,674.0,0.005744545,1481
1480,676.0,0.005781588,1491
1490,678.0,0.005806305,1501
1500,684.0,0.005876234,1511
1510,688.0,0.005909622,1521
1520,692.0,0.00594714,1531
1530,694.0,0.005979913,1541
1540,696.0,0.006003767,1551
1550,696.0,0.006048016,1561
1560,696.0,0.006113588,1571
1570,698.0,0.006141261,1581
1580,698.0,0.006171906,1591
1590,702.0,0.006205422,1601
1600,704.0,0.006233482,1611
1610,704.0,0.0062643,1621
1620,706.0,0.006292495,1631
1630,706.0,0.006317473,1641
1640,708.0,0.006348812,1651
1650,708.0,0.006376487,1661
1660,708.0,0.006414384,1671
1670,708.0,0.006439949,1681
1680,708.0,0.006464585,1691
1690,708.0,0.006489993,1701
1700,710.0,0.006514011,1711
1710,712.0,0.006542078,1721
1720,712.0,0.006567206,1731
1730,716.0,0.006592651,1741
1740,716.0,0.006616989,1751
1750,716.0,0.006642078,1761
1760,718.0,0.006677387,1771
1770,718.0,0.006702485,1781
1780,718.0,0.006725713,1791
1790,720.0,0.006752582,1801
1800,720.0,0.006945795,1811
1810,720.0,0.007221926,1821
1820,720.0,0.007252571,1831
1830,720.0,0.007278057,1841
1840,722.0,0.00730361,1851
1850,722.0,0.007333462,1861
1860,724.0,0.007362798,1871
1870,724.0,0.007405971,1881
1880,726.0,0.007433713,1891
1890,726.0,0.007468468,1901
1900,726.0,0.007498194,1911
1910,726.0,0.007522267,1921
1920,726.0,0.007551221,1931
1930,726.0,0.007576939,1941
1940,726.0,0.007603418,1951
1950,726.0,0.007628634,1961
1960,726.0,0.007654826,1971
1970,726.0,0.007679882,1981
1980,728.0,0.007719139,1991
1990,730.0,0.007743232,2001
2000,732.0,0.007766799,2011
2010,732.0,0.007790673,2021
2020,732.0,0.007815716,2031
2030,732.0,0.007843261,2041
2040,732.0,0.007866738,2051
2050,736.0,0.007890437,2061
2060,738.0,0.007915575,2071
2070,740.0,0.007939873,2081
2080,740.0,0.00797513,2091
2090,740.0,0.007999226,2101
2100,740.0,0.008022095,2111
2110,740.0,0.008046043,2121
2120,740.0,0.008070723,2131
2130,740.0,0.008093627,2141
2140,742.0,0.0081315,2151
2150,744.0,0.008162353,2161
2160,746.0,0.00819305,2171
2170,746.0,0.008222179,2181
2180,748.0,0.008254807,2191
2190,750.0,0.008306471,2201
2200,752.0,0.008331421,2211
