k,GMM,Kmeans
2,0.7714285714285715,0.7714285714285715
3,0.7714285714285715,0.7714285714285715
4,0.7714285714285715,0.7714285714285715
5,0.7714285714285715,0.7714285714285715
6,0.7714285714285715,0.7714285714285715
7,0.7714285714285715,0.7714285714285715
8,0.7714285714285715,0.7755102040816326
9,0.773469387755102,0.7836734693877551
10,0.7714285714285715,0.7836734693877551
15,0.7959183673469388,0.7755102040816326
20,0.7938775510204081,0.8122448979591836
25,0.8020408163265306,0.789795918367347
30,0.8020408163265306,0.810204081632653
35,0.8163265306122449,0.8020408163265306
40,0.8183673469387756,0.8081632653061225
