k,GMM,Kmeans
2,0.08035600304112679,0.08439783760296432
3,0.06996336368370468,0.062368807131678486
4,0.07094663809813359,0.05308501067076215
5,0.045525757472729,0.04142498554117078
6,0.03835546255464446,0.03977910380005345
7,0.038314445451556385,0.03370166628336293
8,0.03431069989215254,0.039274163511601096
9,0.03858573627736392,0.041841640687773844
10,0.038863312332289034,0.04250405541081548
15,0.04739229241345506,0.04435890709555873
20,0.0396456021887538,0.04290919547466838
25,0.039213797070403025,0.03675759843384047
30,0.03744942059532994,0.035639670837471236
35,0.03866293786575077,0.036157025134965985
40,0.03812495813621916,0.031382083682166634
