k,type,score,label
2,Kmeans,0.144469,0
2,Kmeans,-7e-05,1
2,Kmeans,0.422519,0
2,Kmeans,0.330828,1
2,Kmeans,0.055561,1
2,Kmeans,0.385353,0
2,Kmeans,0.153041,1
2,Kmeans,0.230168,0
2,Kmeans,0.130464,0
2,Kmeans,0.295279,1
2,Kmeans,0.190216,0
2,Kmeans,0.418372,0
2,Kmeans,0.372896,1
2,Kmeans,0.319108,0
2,Kmeans,0.445948,0
2,Kmeans,0.380596,1
2,Kmeans,-0.033341,1
2,Kmeans,0.034051,1
2,Kmeans,0.510596,0
2,Kmeans,0.31196,1
2,Kmeans,0.153766,0
2,Kmeans,0.477239,0
2,Kmeans,0.098196,1
2,Kmeans,0.361755,0
2,Kmeans,0.200158,0
2,Kmeans,0.187506,1
2,Kmeans,0.197266,1
2,Kmeans,0.328669,1
2,Kmeans,0.473503,0
2,Kmeans,0.05202,1
2,Kmeans,0.409142,0
2,Kmeans,0.299105,1
2,Kmeans,0.151772,0
2,Kmeans,0.148666,1
2,Kmeans,0.49364,0
2,Kmeans,0.451571,0
2,Kmeans,0.293653,1
2,Kmeans,0.370999,1
2,Kmeans,0.297313,1
2,Kmeans,0.324371,0
2,Kmeans,0.026219,1
2,Kmeans,0.230032,0
2,Kmeans,0.230336,1
2,Kmeans,0.298963,1
2,Kmeans,0.407352,0
2,Kmeans,0.419542,0
2,Kmeans,0.389523,1
2,Kmeans,0.371576,0
2,Kmeans,0.349453,1
2,Kmeans,0.327744,0
2,Kmeans,0.125033,1
2,Kmeans,0.474236,0
2,Kmeans,0.12184,0
2,Kmeans,0.341304,1
2,Kmeans,0.274347,1
2,Kmeans,0.155159,0
2,Kmeans,-0.044269,1
2,Kmeans,0.10577,0
2,Kmeans,0.361031,1
2,Kmeans,0.146288,0
2,Kmeans,0.375874,1
2,Kmeans,-0.086558,1
2,Kmeans,0.497196,0
2,Kmeans,0.411737,0
2,Kmeans,0.411686,0
2,Kmeans,0.237861,1
2,Kmeans,0.24379,0
2,Kmeans,0.122623,1
2,Kmeans,0.420392,0
2,Kmeans,0.131327,0
2,Kmeans,0.170539,1
2,Kmeans,0.272527,1
2,Kmeans,0.38061,1
2,Kmeans,0.511031,0
2,Kmeans,0.108914,0
2,Kmeans,0.159377,1
2,Kmeans,0.339364,0
2,Kmeans,0.180501,1
2,Kmeans,0.102364,1
2,Kmeans,0.491207,0
2,Kmeans,0.368176,1
2,Kmeans,0.185581,1
2,Kmeans,0.170211,0
2,Kmeans,0.411516,0
2,Kmeans,0.165117,1
2,Kmeans,0.214027,1
2,Kmeans,0.352887,1
2,Kmeans,0.243437,1
2,Kmeans,0.169157,0
2,Kmeans,0.372412,0
2,Kmeans,0.466628,0
2,Kmeans,0.309894,1
2,Kmeans,0.279632,0
2,Kmeans,0.021054,1
2,Kmeans,-0.010514,1
2,Kmeans,0.308499,0
2,Kmeans,0.072522,1
2,Kmeans,0.302321,0
2,Kmeans,0.491686,0
2,Kmeans,0.262358,1
2,Kmeans,0.399108,0
2,Kmeans,0.424631,1
2,Kmeans,0.522877,0
2,Kmeans,0.073888,0
2,Kmeans,0.416481,0
2,Kmeans,0.226038,0
2,Kmeans,0.500601,0
2,Kmeans,0.318548,0
2,Kmeans,0.454045,0
2,Kmeans,0.433946,0
2,Kmeans,0.370763,0
2,Kmeans,0.182603,1
2,Kmeans,-0.002947,1
2,Kmeans,0.443029,0
2,Kmeans,0.165753,1
2,Kmeans,0.29906,0
2,Kmeans,0.436358,0
2,Kmeans,0.504771,0
2,Kmeans,0.381885,0
2,Kmeans,0.292472,1
2,Kmeans,0.261638,0
2,Kmeans,0.226411,0
2,Kmeans,0.346247,1
2,Kmeans,0.342029,1
2,Kmeans,0.451055,0
2,Kmeans,0.461658,0
2,Kmeans,0.110717,1
2,Kmeans,0.519962,0
2,Kmeans,0.312547,1
2,Kmeans,0.174201,1
2,Kmeans,0.207261,1
2,Kmeans,0.016705,1
2,Kmeans,0.514153,0
2,Kmeans,0.10719,0
2,Kmeans,0.506769,0
2,Kmeans,0.102835,1
2,Kmeans,0.382996,1
2,Kmeans,0.472831,0
2,Kmeans,0.298363,0
2,Kmeans,0.480931,0
2,Kmeans,0.423338,0
2,Kmeans,0.306599,0
2,Kmeans,0.434129,0
2,Kmeans,0.32173,0
2,Kmeans,0.131537,0
2,Kmeans,0.183688,0
2,Kmeans,0.494576,0
2,Kmeans,0.495305,0
2,Kmeans,0.51371,0
2,Kmeans,0.243011,0
2,Kmeans,0.429697,1
2,Kmeans,0.512262,0
2,Kmeans,0.282271,1
2,Kmeans,0.166414,0
2,Kmeans,0.452211,0
2,Kmeans,0.145066,1
2,Kmeans,0.337438,1
2,Kmeans,0.535372,0
2,Kmeans,0.147289,1
2,Kmeans,0.347166,1
2,Kmeans,0.385331,1
2,Kmeans,0.445162,0
2,Kmeans,0.50376,0
2,Kmeans,0.419202,1
2,Kmeans,0.475876,0
2,Kmeans,0.338324,0
2,Kmeans,0.388573,1
2,Kmeans,0.500066,0
2,Kmeans,0.429273,1
2,Kmeans,0.20244,0
2,Kmeans,0.521789,0
2,Kmeans,0.494564,0
2,Kmeans,0.324153,1
2,Kmeans,0.395488,1
2,Kmeans,0.400482,0
2,Kmeans,0.380582,1
2,Kmeans,0.172077,0
2,Kmeans,0.273669,1
2,Kmeans,0.500074,0
2,Kmeans,-0.046481,1
2,Kmeans,0.482542,0
2,Kmeans,0.3515,0
2,Kmeans,0.260986,0
2,Kmeans,0.179767,0
2,Kmeans,0.166673,0
2,Kmeans,0.440734,0
2,Kmeans,0.384881,1
2,Kmeans,0.116381,0
2,Kmeans,0.449608,0
2,Kmeans,0.404675,1
2,Kmeans,0.356878,0
2,Kmeans,0.427106,1
2,Kmeans,0.289216,1
2,Kmeans,0.240176,1
2,Kmeans,0.357034,0
2,Kmeans,0.263425,0
2,Kmeans,0.437171,0
2,Kmeans,0.434994,0
2,Kmeans,-0.037015,1
2,Kmeans,0.277113,1
2,Kmeans,0.192762,1
2,Kmeans,0.348897,1
2,Kmeans,0.48621,0
2,Kmeans,0.426912,0
2,Kmeans,0.509492,0
2,Kmeans,0.433116,1
2,Kmeans,0.252771,0
2,Kmeans,0.365312,1
2,Kmeans,0.166614,1
2,Kmeans,0.298271,0
2,Kmeans,0.152993,1
2,Kmeans,0.513832,0
2,Kmeans,0.453139,0
2,Kmeans,0.462534,0
2,Kmeans,0.389755,0
2,Kmeans,0.307583,1
2,Kmeans,0.031156,1
2,Kmeans,0.485328,0
2,Kmeans,0.380023,0
2,Kmeans,0.321306,1
2,Kmeans,0.38712,0
2,Kmeans,0.169814,0
2,Kmeans,0.462179,0
2,Kmeans,0.182339,1
2,Kmeans,0.434697,0
2,Kmeans,0.12907,1
2,Kmeans,0.474021,0
2,Kmeans,0.103684,1
2,Kmeans,0.433619,0
2,Kmeans,0.264286,1
2,Kmeans,0.257571,1
2,Kmeans,0.075175,0
2,Kmeans,0.355299,1
2,Kmeans,0.297362,1
2,Kmeans,0.411884,0
2,Kmeans,0.306361,1
2,Kmeans,0.02348,1
2,Kmeans,0.132193,1
2,Kmeans,0.377284,0
2,Kmeans,0.346524,1
2,Kmeans,0.414565,1
2,Kmeans,0.14655,1
2,Kmeans,0.520526,0
2,Kmeans,0.467006,0
2,Kmeans,0.035814,0
2,Kmeans,0.369308,0
2,Kmeans,0.140609,1
2,Kmeans,0.226748,1
2,Kmeans,0.52757,0
2,Kmeans,0.484603,0
2,Kmeans,0.407292,0
2,Kmeans,0.274114,0
2,Kmeans,0.506647,0
2,Kmeans,0.365712,0
2,Kmeans,0.091333,0
2,Kmeans,0.305281,1
2,Kmeans,0.359041,0
2,Kmeans,0.479314,0
2,Kmeans,-0.047955,1
2,Kmeans,0.415057,1
2,Kmeans,0.255151,1
2,Kmeans,0.506303,0
2,Kmeans,0.470602,0
2,Kmeans,0.212178,1
2,Kmeans,0.370983,1
2,Kmeans,0.043188,1
2,Kmeans,0.523019,0
2,Kmeans,0.508159,0
2,Kmeans,0.443668,0
2,Kmeans,0.180717,1
2,Kmeans,0.11177,0
2,Kmeans,0.247921,0
2,Kmeans,0.40615,0
2,Kmeans,0.237174,0
2,Kmeans,0.377691,1
2,Kmeans,0.192936,0
2,Kmeans,0.343093,0
2,Kmeans,0.387145,1
2,Kmeans,0.340643,1
2,Kmeans,0.447669,0
2,Kmeans,0.301458,1
2,Kmeans,0.473381,0
2,Kmeans,0.369655,1
2,Kmeans,0.152169,0
2,Kmeans,0.298461,0
2,Kmeans,0.341866,0
2,Kmeans,0.163202,0
2,Kmeans,0.525276,0
2,Kmeans,0.423785,0
2,Kmeans,0.407406,1
2,Kmeans,-0.036365,1
2,Kmeans,0.441306,0
2,Kmeans,0.21066,0
2,Kmeans,0.442061,0
2,Kmeans,0.169785,1
2,Kmeans,0.436697,0
2,Kmeans,-0.005197,1
2,Kmeans,0.454438,0
2,Kmeans,0.453824,0
2,Kmeans,0.279054,1
2,Kmeans,0.358967,0
2,Kmeans,0.151502,0
2,Kmeans,0.11717,1
2,Kmeans,0.483463,0
2,Kmeans,0.375717,1
2,Kmeans,0.187232,1
2,Kmeans,0.374202,1
2,Kmeans,0.284644,0
2,Kmeans,0.225515,0
2,Kmeans,0.478547,0
2,Kmeans,0.322609,0
2,Kmeans,0.071123,1
2,Kmeans,0.311442,1
2,Kmeans,0.515402,0
2,Kmeans,0.233998,0
2,Kmeans,0.415953,0
2,Kmeans,0.492733,0
2,Kmeans,0.401829,0
2,Kmeans,0.185076,0
2,Kmeans,0.24386,1
2,Kmeans,0.217941,1
2,Kmeans,0.222217,1
2,Kmeans,0.291399,1
2,Kmeans,0.22439,1
2,Kmeans,0.230514,0
2,Kmeans,0.275795,0
2,Kmeans,0.440934,0
2,Kmeans,0.06508,1
2,Kmeans,0.144247,0
2,Kmeans,0.22608,1
2,Kmeans,0.391632,0
2,Kmeans,0.405716,0
2,Kmeans,0.303132,1
2,Kmeans,0.419015,0
2,Kmeans,0.297478,0
2,Kmeans,0.405714,1
2,Kmeans,-0.109628,1
2,Kmeans,0.147537,0
2,Kmeans,0.416906,0
2,Kmeans,0.454892,0
2,Kmeans,0.18446,1
2,Kmeans,0.332278,1
2,Kmeans,0.509496,0
2,Kmeans,0.396551,0
2,Kmeans,0.298589,1
2,Kmeans,0.428213,0
2,Kmeans,0.348862,0
2,Kmeans,0.363599,0
2,Kmeans,0.200551,1
2,Kmeans,0.335095,1
2,Kmeans,0.476287,0
2,Kmeans,0.266514,1
2,Kmeans,0.466598,0
2,Kmeans,0.263737,1
2,Kmeans,0.468219,0
2,Kmeans,0.414991,1
2,Kmeans,0.50817,0
2,Kmeans,-0.010734,1
2,Kmeans,0.046471,0
2,Kmeans,0.477514,0
2,Kmeans,0.295195,1
2,Kmeans,0.199656,1
2,Kmeans,0.379922,0
2,Kmeans,0.143863,0
2,Kmeans,0.436173,1
2,Kmeans,0.325838,1
2,Kmeans,0.056689,1
2,Kmeans,0.06829,1
2,Kmeans,0.147247,0
2,Kmeans,0.378027,1
2,Kmeans,0.248058,0
2,Kmeans,0.160916,1
2,Kmeans,0.436214,0
2,Kmeans,0.176494,1
2,Kmeans,0.402132,0
2,Kmeans,0.515053,0
2,Kmeans,0.050881,1
2,Kmeans,0.433968,0
2,Kmeans,0.390211,0
2,Kmeans,0.129175,0
2,Kmeans,0.255053,1
2,Kmeans,0.360608,0
