k,GMM,Kmeans
2,0.2435308038226333,0.30755631254228655
3,0.34971743205337985,0.35335871403274477
4,0.33901082918993886,0.3069489342375477
5,0.31451782623200397,0.32712700348051643
6,0.2703968077516022,0.33109559158779167
7,0.22557037462014512,0.2968945787256728
8,0.22796133033237767,0.27377995604653005
9,0.21932333029962947,0.2738532085226928
10,0.206726250096987,0.276960416135628
15,0.15463964000169533,0.2819888700501247
20,0.19906299725917867,0.2667223567854392
25,0.1541855475186001,0.2891039895142162
30,0.2109220302377202,0.293139636651369
35,0.1878467321562308,0.2785915960691376
40,0.2148271626274037,0.28252168391022303
