k,GMM,Kmeans
2,0.3502415458937198,0.2632850241545894
3,0.30193236714975846,0.4178743961352657
4,0.45652173913043476,0.3695652173913043
5,0.4468599033816425,0.3719806763285024
6,0.37922705314009664,0.40096618357487923
7,0.3961352657004831,0.38405797101449274
8,0.4420289855072464,0.4251207729468599
9,0.42995169082125606,0.4468599033816425
10,0.4420289855072464,0.45893719806763283
15,0.5265700483091788,0.5120772946859904
20,0.5072463768115942,0.5193236714975845
25,0.5579710144927537,0.5314009661835749
30,0.5652173913043478,0.5169082125603864
35,0.5628019323671497,0.5603864734299517
40,0.5772946859903382,0.5821256038647343
