k,GMM,Kmeans
2,0.06726266983048973,0.0028195893729346336
3,0.006149763728499337,0.12166819239164707
4,0.14561961867076584,0.10463666638412811
5,0.15518735088066712,0.08569594946187929
6,0.08615705039751781,0.0927661723770433
7,0.09440948395555547,0.08431169304016209
8,0.12286948083605474,0.09216315653939293
9,0.10418872835417378,0.13131257557455955
10,0.11000816903349338,0.12630860259398524
15,0.13125564337037568,0.11162108379443597
20,0.10649389571219757,0.11053241465351965
25,0.11055447496120452,0.10641566790991759
30,0.1035306212980579,0.08725289560110502
35,0.1016869869497567,0.09439669860701337
40,0.0961402113592939,0.10009850842865776
