k,type,score,label
2,Kmeans,0.714944,1
2,Kmeans,0.740912,1
2,Kmeans,0.77593,1
2,Kmeans,0.735829,1
2,Kmeans,0.734815,1
2,Kmeans,0.770407,1
2,Kmeans,0.682553,1
2,Kmeans,0.769816,1
2,Kmeans,0.706793,1
2,Kmeans,0.725009,1
2,Kmeans,0.752995,1
2,Kmeans,0.676532,1
2,Kmeans,0.773452,1
2,Kmeans,0.721332,1
2,Kmeans,0.7134,1
2,Kmeans,0.674809,1
2,Kmeans,0.738915,1
2,Kmeans,0.74035,1
2,Kmeans,0.630782,1
2,Kmeans,0.726602,1
2,Kmeans,0.690593,1
2,Kmeans,0.679773,1
2,Kmeans,0.770065,1
2,Kmeans,0.735223,1
2,Kmeans,0.713346,1
2,Kmeans,0.728617,1
2,Kmeans,0.750491,1
2,Kmeans,0.730793,1
2,Kmeans,0.761963,1
2,Kmeans,0.671424,1
2,Kmeans,0.637512,1
2,Kmeans,0.748922,1
2,Kmeans,0.690026,1
2,Kmeans,0.624483,1
2,Kmeans,0.786845,1
2,Kmeans,0.741582,1
2,Kmeans,0.673203,1
2,Kmeans,0.771768,1
2,Kmeans,0.769849,1
2,Kmeans,0.762149,1
2,Kmeans,0.761921,1
2,Kmeans,0.7424,1
2,Kmeans,0.681304,1
2,Kmeans,0.690241,1
2,Kmeans,0.72211,1
2,Kmeans,0.70585,1
2,Kmeans,0.654896,1
2,Kmeans,0.715342,1
2,Kmeans,0.776081,1
2,Kmeans,0.714066,1
2,Kmeans,0.757987,1
2,Kmeans,0.718275,1
2,Kmeans,0.665786,1
2,Kmeans,0.746775,1
2,Kmeans,0.700393,1
2,Kmeans,0.706715,1
2,Kmeans,0.779655,1
2,Kmeans,0.711634,1
2,Kmeans,0.747923,1
2,Kmeans,0.765141,1
2,Kmeans,0.747453,1
2,Kmeans,0.715081,1
2,Kmeans,0.746535,1
2,Kmeans,0.609365,1
2,Kmeans,0.701354,1
2,Kmeans,0.74164,1
2,Kmeans,0.737345,1
2,Kmeans,0.718121,1
2,Kmeans,0.735039,1
2,Kmeans,0.726117,1
2,Kmeans,0.756576,1
2,Kmeans,0.691605,1
2,Kmeans,0.735247,1
2,Kmeans,0.783794,1
2,Kmeans,0.671304,1
2,Kmeans,0.770758,1
2,Kmeans,0.732682,1
2,Kmeans,0.766297,1
2,Kmeans,0.70145,1
2,Kmeans,0.766227,1
2,Kmeans,0.685051,1
2,Kmeans,0.714181,1
2,Kmeans,0.752796,1
2,Kmeans,0.772325,1
2,Kmeans,0.748812,1
2,Kmeans,0.720014,1
2,Kmeans,0.780664,1
2,Kmeans,0.746814,1
2,Kmeans,0.710786,1
2,Kmeans,0.781421,1
2,Kmeans,0.711306,1
2,Kmeans,0.749535,1
2,Kmeans,0.750414,1
2,Kmeans,0.775007,1
2,Kmeans,0.750828,1
2,Kmeans,0.695762,1
2,Kmeans,0.687031,1
2,Kmeans,0.736506,1
2,Kmeans,0.671917,1
2,Kmeans,0.732481,1
2,Kmeans,0.782346,1
2,Kmeans,0.684418,1
2,Kmeans,0.725287,1
2,Kmeans,0.717267,1
2,Kmeans,0.701254,1
2,Kmeans,0.755839,1
2,Kmeans,0.658564,1
2,Kmeans,0.760993,1
2,Kmeans,0.746591,1
2,Kmeans,0.710752,1
2,Kmeans,0.722918,1
2,Kmeans,0.599675,1
2,Kmeans,0.784041,1
2,Kmeans,0.733776,1
2,Kmeans,0.728726,1
2,Kmeans,0.738805,1
2,Kmeans,0.717991,1
2,Kmeans,0.73,1
2,Kmeans,0.746501,1
2,Kmeans,0.726802,1
2,Kmeans,0.708289,1
2,Kmeans,0.67962,1
2,Kmeans,0.662424,1
2,Kmeans,0.717455,1
2,Kmeans,0.74171,1
2,Kmeans,0.71029,1
2,Kmeans,0.70945,1
2,Kmeans,0.787492,1
2,Kmeans,0.711802,1
2,Kmeans,0.724777,1
2,Kmeans,0.762346,1
2,Kmeans,0.78042,1
