k,GMM,Kmeans
2,0.22086020881555576,0.7232425090062283
3,0.19400900522723444,0.19478785420297315
4,0.17469237034874488,0.21952423107551708
5,0.152096933730651,0.2295777176176457
6,0.17398747692922756,0.2357928326138003
7,0.18087020761324585,0.2400685803000594
8,0.1558432465906537,0.2374883710146716
9,0.16205898823681827,0.24403289022415744
10,0.18613400936126673,0.23229443056170895
15,0.13732656163815077,0.22038002948193486
20,0.14339611935242402,0.21874906853555157
25,0.1396018511504281,0.2031463557391942
30,0.14334716159249036,0.20085294349395083
35,0.13356714300154335,0.20395416474191055
40,0.16317542445735173,0.19579678718623794
