k,GMM,Kmeans
2,0.7714285714285715,0.7714285714285715
3,0.7714285714285715,0.7714285714285715
4,0.7714285714285715,0.7714285714285715
5,0.7714285714285715,0.7714285714285715
6,0.7714285714285715,0.7714285714285715
7,0.7714285714285715,0.8061224489795918
8,0.789795918367347,0.8040816326530612
9,0.7816326530612245,0.8061224489795918
10,0.7795918367346939,0.8081632653061225
15,0.789795918367347,0.8
20,0.7959183673469388,0.810204081632653
25,0.7959183673469388,0.8183673469387756
30,0.8122448979591836,0.8183673469387756
35,0.8122448979591836,0.8122448979591836
40,0.8122448979591836,0.8142857142857143
