k,GMM,Kmeans
2,0.10943581332172109,0.11056828594884557
3,0.07135566471783882,0.08727025480896607
4,0.06804749575348955,0.057599470457692224
5,0.06261935330178876,0.057519518757266665
6,0.06247852911269373,0.05079950203927128
7,0.050282021546508626,0.06504071652825359
8,0.04553660207024041,0.060022343301087605
9,0.04918403108696627,0.06106660328388808
10,0.048272827336680674,0.06599485394477428
15,0.03960578219089238,0.05164235338734683
20,0.03667110744894994,0.04533466988081269
25,0.03297505639859987,0.04487185001532672
30,0.03790197474076206,0.03944858869626519
35,0.0356945121718186,0.0366361457668891
40,0.03413917431431072,0.033459756410124296
