k,type,score,label
2,Kmeans,0.223685,1
2,Kmeans,0.118779,1
2,Kmeans,0.539725,1
2,Kmeans,0.46068,1
2,Kmeans,0.100985,1
2,Kmeans,0.482499,1
2,Kmeans,0.452748,1
2,Kmeans,0.310397,0
2,Kmeans,0.282937,1
2,Kmeans,0.121206,1
2,Kmeans,0.393638,0
2,Kmeans,0.430401,0
2,Kmeans,0.078637,1
2,Kmeans,0.504375,1
2,Kmeans,0.043599,1
2,Kmeans,0.251162,1
2,Kmeans,0.300705,0
2,Kmeans,0.252828,1
2,Kmeans,0.222921,1
2,Kmeans,0.004985,0
2,Kmeans,0.30864,1
2,Kmeans,0.308794,1
2,Kmeans,0.493158,1
2,Kmeans,0.398232,0
2,Kmeans,0.465192,1
2,Kmeans,0.445438,1
2,Kmeans,0.38143,1
2,Kmeans,0.350266,0
2,Kmeans,0.425755,1
2,Kmeans,0.404778,0
2,Kmeans,0.454172,1
2,Kmeans,0.474823,0
2,Kmeans,0.403194,0
2,Kmeans,0.484177,1
2,Kmeans,0.328058,0
2,Kmeans,0.256101,1
2,Kmeans,0.085298,0
2,Kmeans,-0.069806,0
2,Kmeans,0.272272,0
2,Kmeans,0.316384,1
2,Kmeans,0.390381,0
2,Kmeans,0.536266,1
2,Kmeans,0.469687,1
2,Kmeans,0.506155,1
2,Kmeans,0.098692,0
2,Kmeans,0.498355,1
2,Kmeans,0.517452,1
2,Kmeans,0.387621,0
2,Kmeans,0.527335,1
2,Kmeans,0.182229,1
2,Kmeans,0.479568,1
2,Kmeans,0.514311,1
2,Kmeans,0.472434,1
2,Kmeans,0.139156,0
2,Kmeans,-0.029646,0
2,Kmeans,0.463504,0
2,Kmeans,0.105419,0
2,Kmeans,0.501682,1
2,Kmeans,0.340127,0
2,Kmeans,0.40048,0
2,Kmeans,0.477062,1
2,Kmeans,0.38448,0
2,Kmeans,0.291187,1
2,Kmeans,0.3745,1
2,Kmeans,0.258596,1
2,Kmeans,0.358985,0
2,Kmeans,0.50617,1
2,Kmeans,0.393188,0
2,Kmeans,0.224412,0
2,Kmeans,0.565552,1
2,Kmeans,0.156036,1
2,Kmeans,0.049988,0
2,Kmeans,0.554291,1
2,Kmeans,0.491886,1
2,Kmeans,0.515429,1
2,Kmeans,0.56393,1
2,Kmeans,0.42761,1
2,Kmeans,0.141221,0
2,Kmeans,0.528758,1
2,Kmeans,0.157601,1
2,Kmeans,0.538796,1
2,Kmeans,0.352813,1
2,Kmeans,-0.020934,0
2,Kmeans,0.516655,1
2,Kmeans,0.515574,1
2,Kmeans,0.149598,1
2,Kmeans,0.51213,1
