k,GMM,Kmeans
2,0.3405255965540562,0.3402865527216767
3,0.35477685301728934,0.3766396655272574
4,0.34173192518985107,0.30213386591788777
5,0.3067943355092324,0.2727583295013969
6,0.21771427332456741,0.2659620555431456
7,0.17820823860940635,0.2799809336929104
8,0.2221042738617935,0.26708670141853585
9,0.19705021677492637,0.27004148232310377
10,0.1965507769078868,0.26692467374607054
15,0.18546221211109537,0.24707865882186872
20,0.12785462598172406,0.2586172394930977
25,0.14728819174796057,0.25888388347903485
30,0.15341147902829505,0.2727952100530692
35,0.18632374210755429,0.2716695202543552
40,0.18800860949280152,0.27253461285648767
