k,GMM,Kmeans
2,0.35507246376811596,0.37922705314009664
3,0.3864734299516908,0.36231884057971014
4,0.3647342995169082,0.3671497584541063
5,0.391304347826087,0.391304347826087
6,0.43478260869565216,0.4082125603864734
7,0.4396135265700483,0.45169082125603865
8,0.5072463768115942,0.47342995169082125
9,0.5024154589371981,0.5193236714975845
10,0.5096618357487923,0.4975845410628019
15,0.5628019323671497,0.5314009661835749
20,0.5217391304347826,0.5193236714975845
25,0.5483091787439613,0.5990338164251208
30,0.5748792270531401,0.5990338164251208
35,0.5966183574879227,0.606280193236715
40,0.5942028985507246,0.6159420289855072
