k,GMM,Kmeans
2,0.05988432936797999,0.09078922802168216
3,0.07437684153272886,0.08267904979926739
4,0.0902328265403369,0.09290329987581417
5,0.12418507457875622,0.11542972511295058
6,0.16851688187989858,0.09795185115963802
7,0.11879975384733923,0.12990176493021702
8,0.2049588589328803,0.1367549417321552
9,0.18341481182123665,0.15863580888924717
10,0.18213326529842208,0.13447369101585663
15,0.17714520353775218,0.14317595345604614
20,0.12635270371559965,0.12718654629882284
25,0.12896346721741342,0.1457092119669672
30,0.13318407937135077,0.13787179124003016
35,0.12657397744062185,0.13687716193667024
40,0.12529224964874341,0.129052915665146
