k,type,score,label
2,Kmeans,0.348447,1
2,Kmeans,0.465235,1
2,Kmeans,0.48045,1
2,Kmeans,0.328203,1
2,Kmeans,0.404936,1
2,Kmeans,0.51458,1
2,Kmeans,0.606095,1
2,Kmeans,0.654283,0
2,Kmeans,0.42962,1
2,Kmeans,0.482705,0
2,Kmeans,0.520671,0
2,Kmeans,0.376848,1
2,Kmeans,0.523887,1
2,Kmeans,0.169763,0
2,Kmeans,0.558326,1
2,Kmeans,0.164796,0
2,Kmeans,0.630051,1
2,Kmeans,0.53284,0
2,Kmeans,0.485154,1
2,Kmeans,0.388824,1
2,Kmeans,0.594044,1
2,Kmeans,0.611712,1
2,Kmeans,0.513909,1
2,Kmeans,0.665838,0
2,Kmeans,0.60669,1
2,Kmeans,0.6119,1
2,Kmeans,0.549369,1
2,Kmeans,0.622184,1
2,Kmeans,0.437517,1
2,Kmeans,0.55034,1
2,Kmeans,0.506693,0
2,Kmeans,0.555876,0
2,Kmeans,0.648196,0
2,Kmeans,0.646151,0
2,Kmeans,0.605628,1
2,Kmeans,0.486221,1
2,Kmeans,0.511763,1
2,Kmeans,0.444756,0
2,Kmeans,0.538035,1
2,Kmeans,0.118314,0
2,Kmeans,0.55479,1
2,Kmeans,0.411358,1
2,Kmeans,0.426392,1
2,Kmeans,0.583737,1
2,Kmeans,0.254358,1
2,Kmeans,0.609735,0
2,Kmeans,0.590146,0
2,Kmeans,0.34126,1
2,Kmeans,0.106822,0
2,Kmeans,0.608157,1
2,Kmeans,0.459753,1
2,Kmeans,0.561339,1
2,Kmeans,0.542679,1
2,Kmeans,0.478869,1
2,Kmeans,0.424308,1
2,Kmeans,0.181782,0
2,Kmeans,0.649285,0
2,Kmeans,0.520788,1
2,Kmeans,0.512872,0
2,Kmeans,0.586516,1
2,Kmeans,0.485005,1
2,Kmeans,0.363975,0
2,Kmeans,0.395175,1
2,Kmeans,0.375773,1
2,Kmeans,0.405718,1
2,Kmeans,0.547598,1
2,Kmeans,0.536156,1
2,Kmeans,0.543576,0
2,Kmeans,0.646525,0
2,Kmeans,0.546579,1
2,Kmeans,0.652786,0
2,Kmeans,0.601648,1
2,Kmeans,0.593629,1
2,Kmeans,0.637365,0
2,Kmeans,0.659496,0
2,Kmeans,0.431211,1
2,Kmeans,0.49632,1
2,Kmeans,0.488044,1
2,Kmeans,0.372238,1
2,Kmeans,0.574562,1
2,Kmeans,0.605191,0
2,Kmeans,0.583432,0
2,Kmeans,0.611641,0
2,Kmeans,0.395364,1
2,Kmeans,0.433246,1
2,Kmeans,0.540434,1
2,Kmeans,0.304256,0
2,Kmeans,0.627932,0
2,Kmeans,0.648602,0
2,Kmeans,0.540692,0
2,Kmeans,0.40522,1
2,Kmeans,0.13586,0
2,Kmeans,0.470262,0
2,Kmeans,0.662465,0
2,Kmeans,0.349314,1
2,Kmeans,0.414939,1
2,Kmeans,0.389192,1
2,Kmeans,0.593977,0
2,Kmeans,0.457985,1
2,Kmeans,0.460387,1
2,Kmeans,0.369564,1
2,Kmeans,0.222475,0
2,Kmeans,0.585732,1
2,Kmeans,0.008224,0
2,Kmeans,0.617776,1
2,Kmeans,0.361306,0
2,Kmeans,0.598443,1
2,Kmeans,0.556243,1
2,Kmeans,0.652421,0
