k,GMM,Kmeans
2,0.48876342798466016,0.497573695289762
3,0.3164188399544245,0.4116536004740642
4,0.40265856235841035,0.4262828488035762
5,0.3222882555347442,0.36329842657977507
6,0.2755975896980352,0.3441493986781108
7,0.28432270211189203,0.3699063385124519
8,0.312813807983893,0.3582418561345043
9,0.28235738660027215,0.3528394626757885
10,0.26551226936902983,0.3427805239812709
15,0.24244680395196494,0.33418863292922235
20,0.24341594719933465,0.32265744159570214
25,0.26040993532267237,0.3176444441222753
30,0.20711961909175472,0.3248836016134064
35,0.24006153886715687,0.3138176662609247
40,0.18125528992964451,0.3148168553508899
