k,GMM,Kmeans
2,0.7714285714285715,0.7714285714285715
3,0.7714285714285715,0.8224489795918367
4,0.8183673469387756,0.8204081632653061
5,0.7714285714285715,0.8285714285714286
6,0.7714285714285715,0.8204081632653061
7,0.7714285714285715,0.826530612244898
8,0.8081632653061225,0.826530612244898
9,0.8204081632653061,0.826530612244898
10,0.8204081632653061,0.8204081632653061
15,0.8142857142857143,0.8244897959183674
20,0.8224489795918367,0.8285714285714286
25,0.826530612244898,0.8367346938775511
30,0.826530612244898,0.8387755102040816
35,0.8306122448979592,0.8469387755102041
40,0.8387755102040816,0.8469387755102041
