k,GMM,Kmeans
2,0.1184936186714733,0.12543718014735442
3,0.0885807430868013,0.13087752512012218
4,0.09700245395034603,0.113602548889796
5,0.06908793840686787,0.09322857548802575
6,0.06357948320412332,0.0714214314726011
7,0.07168531331284154,0.07708906494068976
8,0.05971164768804967,0.0774417001864608
9,0.07793410176713984,0.0747335745046137
10,0.06792566850107942,0.0671869943270513
15,0.06915509761885275,0.06556978881933766
20,0.05722156905027176,0.06660912941654032
25,0.056001532711093545,0.06281404317111942
30,0.05172339390178704,0.06164628156412221
35,0.051910235491015116,0.058727769792169114
40,0.051495992892816506,0.05335150435827408
