k,type,score,label
2,Kmeans,0.28598,1
2,Kmeans,0.518738,1
2,Kmeans,0.502136,1
2,Kmeans,0.375264,0
2,Kmeans,0.430817,1
2,Kmeans,0.349926,0
2,Kmeans,0.325265,0
2,Kmeans,0.509108,1
2,Kmeans,0.264077,0
2,Kmeans,0.349926,0
2,Kmeans,0.423829,0
2,Kmeans,0.296427,1
2,Kmeans,0.208722,1
2,Kmeans,0.247779,0
2,Kmeans,0.459204,0
2,Kmeans,0.314776,0
2,Kmeans,0.359919,0
2,Kmeans,0.350531,0
2,Kmeans,0.310745,1
2,Kmeans,0.441859,1
2,Kmeans,0.509108,1
2,Kmeans,0.509267,1
2,Kmeans,0.325064,0
2,Kmeans,0.092608,0
2,Kmeans,0.226336,0
2,Kmeans,0.497217,1
2,Kmeans,0.342416,1
2,Kmeans,0.502136,1
2,Kmeans,0.373891,0
2,Kmeans,0.275897,0
2,Kmeans,0.336913,1
2,Kmeans,0.35436,1
2,Kmeans,0.289208,1
2,Kmeans,0.237518,1
2,Kmeans,0.114602,0
2,Kmeans,0.441541,0
2,Kmeans,0.320074,0
2,Kmeans,0.448099,0
2,Kmeans,0.108427,0
2,Kmeans,0.33491,1
2,Kmeans,0.518738,1
2,Kmeans,0.509108,1
2,Kmeans,0.336682,1
2,Kmeans,0.15549,0
2,Kmeans,0.226336,0
2,Kmeans,0.344865,0
2,Kmeans,0.275558,1
2,Kmeans,0.33491,1
2,Kmeans,0.257186,0
2,Kmeans,0.353321,0
2,Kmeans,0.502888,1
2,Kmeans,0.191786,1
2,Kmeans,0.447494,0
2,Kmeans,0.237222,0
2,Kmeans,0.032615,1
2,Kmeans,0.341469,0
2,Kmeans,0.374753,1
2,Kmeans,0.52324,1
2,Kmeans,0.502829,1
2,Kmeans,0.337182,0
2,Kmeans,0.362869,0
2,Kmeans,0.250187,0
2,Kmeans,0.391444,0
2,Kmeans,0.159082,1
2,Kmeans,0.506077,1
2,Kmeans,0.237222,0
2,Kmeans,0.430886,0
2,Kmeans,0.262352,1
2,Kmeans,0.331542,1
2,Kmeans,0.302649,1
2,Kmeans,0.174363,0
2,Kmeans,0.364138,0
2,Kmeans,0.371636,0
2,Kmeans,0.316832,0
2,Kmeans,0.125871,1
2,Kmeans,0.378683,1
2,Kmeans,0.143758,0
2,Kmeans,0.006685,0
2,Kmeans,0.313909,1
