k,GMM,Kmeans
2,0.3220486030035865,0.3292355980147092
3,0.31274864600120555,0.3320048170983463
4,0.28937543706160074,0.36670468691443203
5,0.16861428792665462,0.35592097595612804
6,0.22355166334734763,0.3717822255344385
7,0.00953970885355492,0.39678250885948047
8,0.24189038608445768,0.4125826787211985
9,0.31518293350125237,0.4149516901867808
10,0.1833671091408413,0.4317833453253098
15,0.2157583063408238,0.4454689641342395
20,0.21332565881498633,0.4536218473512819
25,0.17985000250550875,0.41294165940736377
30,0.16805239684056103,0.40234206284168633
35,0.10065354733176664,0.4108668440978975
40,0.13985644178008058,0.42523727334490286
