k,GMM,Kmeans
2,0.2632850241545894,0.2632850241545894
3,0.40096618357487923,0.39855072463768115
4,0.4033816425120773,0.4033816425120773
5,0.4106280193236715,0.4033816425120773
6,0.4178743961352657,0.4178743961352657
7,0.4178743961352657,0.42028985507246375
8,0.4251207729468599,0.43478260869565216
9,0.4251207729468599,0.43478260869565216
10,0.4420289855072464,0.4420289855072464
15,0.45169082125603865,0.45169082125603865
20,0.45169082125603865,0.45169082125603865
25,0.45169082125603865,0.45169082125603865
30,0.45169082125603865,0.45169082125603865
35,0.45169082125603865,0.45169082125603865
40,0.45169082125603865,0.45169082125603865
