k,GMM,Kmeans
2,0.003264179277519819,0.003264179277519819
3,0.11857019932867363,0.10109785224440444
4,0.11602427489632253,0.11602427489632253
5,0.11598550992442243,0.1180295661395878
6,0.1106982621030663,0.1106982621030663
7,0.09288450512209037,0.10266020681475761
8,0.10435677172974997,0.09210909611160008
9,0.09374023145212884,0.08267656907413289
10,0.08545751362505256,0.08545751362505256
15,0.07955896812171803,0.07955896812171803
20,0.07832511853706715,0.07832511853706715
25,0.07832511853706711,0.07832511853706711
30,0.0783251185370671,0.0783251185370671
35,0.07832511853706711,0.07832511853706711
40,0.07832511853706711,0.07832511853706711
