k,type,score,label
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.944395,0
2,Kmeans,0.954968,0
2,Kmeans,0.907705,0
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.955366,0
2,Kmeans,0.936894,0
2,Kmeans,0.955366,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.917263,0
2,Kmeans,0.927366,0
2,Kmeans,0.927366,0
2,Kmeans,0.927366,0
2,Kmeans,0.949626,0
2,Kmeans,0.936894,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.917263,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.908853,1
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.955366,0
2,Kmeans,0.944395,0
2,Kmeans,0.949626,0
2,Kmeans,0.955366,0
2,Kmeans,0.917263,0
2,Kmeans,0.954968,0
2,Kmeans,0.927366,0
2,Kmeans,0.936894,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.936894,0
2,Kmeans,0.927366,0
2,Kmeans,0.927366,0
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.927366,0
2,Kmeans,0.944395,0
2,Kmeans,0.917263,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.954968,0
2,Kmeans,0.936894,0
2,Kmeans,0.949626,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.917263,0
2,Kmeans,0.954968,0
2,Kmeans,0.889772,0
2,Kmeans,0.944395,0
2,Kmeans,0.917263,0
2,Kmeans,0.917263,0
2,Kmeans,0.955366,0
2,Kmeans,0.936894,0
2,Kmeans,0.936894,0
2,Kmeans,0.917263,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.949626,0
2,Kmeans,0.944395,0
2,Kmeans,0.917263,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.955366,0
2,Kmeans,0.907705,0
2,Kmeans,0.955366,0
2,Kmeans,0.927366,0
2,Kmeans,0.917263,0
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.927366,0
2,Kmeans,0.955366,0
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.927366,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.944395,0
2,Kmeans,0.949626,0
2,Kmeans,0.936894,0
2,Kmeans,0.944395,0
2,Kmeans,0.480081,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.917263,0
2,Kmeans,0.917263,0
2,Kmeans,0.927366,0
2,Kmeans,0.927366,0
2,Kmeans,0.936894,0
2,Kmeans,0.944395,0
2,Kmeans,0.954968,0
2,Kmeans,0.917263,0
2,Kmeans,0.949626,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.955366,0
2,Kmeans,0.955366,0
2,Kmeans,0.949626,0
2,Kmeans,0.954968,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.936894,0
2,Kmeans,0.917263,0
2,Kmeans,0.936894,0
2,Kmeans,0.917263,0
2,Kmeans,0.954968,0
2,Kmeans,0.917263,0
2,Kmeans,0.949626,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.888047,0
2,Kmeans,0.949626,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.955366,0
2,Kmeans,0.954968,0
2,Kmeans,0.917263,0
2,Kmeans,0.888047,0
2,Kmeans,0.917263,0
2,Kmeans,0.944395,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.917263,0
2,Kmeans,0.927366,0
2,Kmeans,0.917263,0
2,Kmeans,0.889772,0
2,Kmeans,0.955366,0
2,Kmeans,0.917263,0
2,Kmeans,0.927366,0
2,Kmeans,0.917263,0
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.936894,0
2,Kmeans,0.907705,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.955366,0
2,Kmeans,0.955366,0
2,Kmeans,0.936894,0
2,Kmeans,0.917263,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.936894,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.927366,0
2,Kmeans,0.944395,0
2,Kmeans,0.949626,0
2,Kmeans,0.936894,0
2,Kmeans,0.917263,0
2,Kmeans,0.949626,0
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.927366,0
2,Kmeans,0.955366,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.936894,0
2,Kmeans,0.927366,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.955366,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.917263,0
2,Kmeans,0.954968,0
2,Kmeans,0.936894,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.889772,0
2,Kmeans,0.954968,0
2,Kmeans,0.917263,0
2,Kmeans,0.936894,0
2,Kmeans,0.936894,0
2,Kmeans,0.927366,0
2,Kmeans,0.936894,0
2,Kmeans,0.927366,0
2,Kmeans,0.917263,0
2,Kmeans,0.949626,0
2,Kmeans,0.889772,0
2,Kmeans,0.917263,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.949626,0
2,Kmeans,0.927366,0
2,Kmeans,0.954968,0
2,Kmeans,0.936894,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.927366,0
2,Kmeans,0.949626,0
2,Kmeans,0.936894,0
2,Kmeans,0.889772,0
2,Kmeans,0.917263,0
2,Kmeans,0.927366,0
2,Kmeans,0.955366,0
2,Kmeans,0.889772,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.954968,0
2,Kmeans,0.949626,0
2,Kmeans,0.907705,0
2,Kmeans,0.949626,0
2,Kmeans,0.936894,0
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.954968,0
2,Kmeans,0.917263,0
2,Kmeans,0.955366,0
2,Kmeans,0.889772,0
2,Kmeans,0.954968,0
2,Kmeans,0.944395,0
2,Kmeans,0.889772,0
2,Kmeans,0.955366,0
2,Kmeans,0.949626,0
2,Kmeans,0.949626,0
2,Kmeans,0.944395,0
2,Kmeans,0.917263,0
2,Kmeans,0.954968,0
2,Kmeans,0.917263,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.955366,0
2,Kmeans,0.954968,0
2,Kmeans,0.936894,0
2,Kmeans,0.927366,0
2,Kmeans,0.944395,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.889772,0
2,Kmeans,0.907705,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.954968,0
2,Kmeans,0.936894,0
2,Kmeans,0.944395,0
2,Kmeans,0.917263,0
2,Kmeans,0.955366,0
2,Kmeans,0.917263,0
2,Kmeans,0.936894,0
2,Kmeans,0.936894,0
2,Kmeans,0.936894,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.936894,0
2,Kmeans,0.955366,0
2,Kmeans,0.949626,0
2,Kmeans,0.936894,0
2,Kmeans,0.955366,0
2,Kmeans,0.936894,0
2,Kmeans,0.949626,0
2,Kmeans,0.954968,0
2,Kmeans,0.949626,0
2,Kmeans,0.955366,0
2,Kmeans,0.792175,1
2,Kmeans,0.917263,0
2,Kmeans,0.944395,0
2,Kmeans,0.936894,0
2,Kmeans,0.927366,0
2,Kmeans,0.944395,0
2,Kmeans,0.912248,1
2,Kmeans,0.944395,0
2,Kmeans,0.936894,0
2,Kmeans,0.889772,0
2,Kmeans,0.949626,0
2,Kmeans,0.936894,0
2,Kmeans,0.944395,0
2,Kmeans,0.944395,0
2,Kmeans,0.955366,0
2,Kmeans,0.944395,0
2,Kmeans,0.936894,0
2,Kmeans,0.917263,0
2,Kmeans,0.889772,0
2,Kmeans,0.936894,0
2,Kmeans,0.949626,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.955366,0
2,Kmeans,0.944395,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.936894,0
2,Kmeans,0.944395,0
2,Kmeans,0.954968,0
2,Kmeans,0.917263,0
2,Kmeans,0.944395,0
2,Kmeans,0.936894,0
2,Kmeans,0.944395,0
2,Kmeans,0.936894,0
2,Kmeans,0.954968,0
2,Kmeans,0.954968,0
2,Kmeans,0.917263,0
2,Kmeans,0.917263,0
2,Kmeans,0.917263,0
2,Kmeans,0.954968,0
2,Kmeans,0.955366,0
2,Kmeans,0.936894,0
