k,GMM,Kmeans
2,0.9361094381897044,0.9361094381897044
3,0.6498922146476733,0.6459880933990417
4,0.6604163331462785,0.6604163331462785
5,0.5270887977190604,0.6471777990581233
6,0.6733161403818226,0.6733161403818226
7,0.7718485064701512,0.7185216670432704
8,0.7493144022773464,0.7135514995388829
9,0.8339849210484619,0.7982220183099983
10,0.9237311591644077,0.9237311591644077
15,0.9937600644122386,0.9937600644122386
20,0.9903381642512077,0.9903381642512077
25,0.9903381642512077,0.9903381642512077
30,0.9903381642512077,0.9903381642512077
35,0.9903381642512077,0.9903381642512077
40,0.9903381642512077,0.9903381642512077
