k,GMM,Kmeans
2,0.7714285714285715,0.7714285714285715
3,0.7775510204081633,0.7714285714285715
4,0.7714285714285715,0.7714285714285715
5,0.7714285714285715,0.7795918367346939
6,0.7795918367346939,0.7795918367346939
7,0.7795918367346939,0.7795918367346939
8,0.7795918367346939,0.7795918367346939
9,0.7877551020408163,0.7877551020408163
10,0.7877551020408163,0.789795918367347
15,0.7938775510204081,0.789795918367347
20,0.8224489795918367,0.8
25,0.7979591836734694,0.810204081632653
30,0.8183673469387756,0.8020408163265306
35,0.826530612244898,0.8061224489795918
40,0.8244897959183674,0.8163265306122449
