k,GMM,Kmeans
2,0.004349973183542201,0.0036855151601746555
3,0.04147725063763973,0.00895065430734915
4,0.02060837838090236,0.0131640159059505
5,0.03567314653381167,0.023201184333049053
6,0.040289513123458486,0.018987750555879715
7,0.026988000651736142,0.01954530971379641
8,0.017733791881324668,0.015760022971890955
9,0.025013940872231324,0.024905392209293543
10,0.025231653026403497,0.02433764088354883
15,0.01798994402178604,0.026050868672396615
20,0.050384256007172,0.030054310009960065
25,0.02568292095649164,0.02908025904035521
30,0.044228288612089606,0.02709080877898214
35,0.04347519606232457,0.025535295707987436
40,0.03878821633532362,0.03794098492777809
