k,type,score,label
2,Kmeans,-0.06829,1
2,Kmeans,0.453709,0
2,Kmeans,-0.036866,1
2,Kmeans,0.400332,0
2,Kmeans,0.217689,1
2,Kmeans,0.099717,1
2,Kmeans,0.357773,0
2,Kmeans,0.390368,0
2,Kmeans,0.43942,0
2,Kmeans,0.20787,1
2,Kmeans,0.403544,0
2,Kmeans,0.391522,0
2,Kmeans,0.396167,0
2,Kmeans,0.20256,1
2,Kmeans,0.405465,0
2,Kmeans,0.259154,0
2,Kmeans,0.157198,1
2,Kmeans,0.478407,0
2,Kmeans,0.391424,0
2,Kmeans,0.15047,0
2,Kmeans,0.138472,1
2,Kmeans,0.203962,1
2,Kmeans,0.247756,0
2,Kmeans,0.434747,0
2,Kmeans,0.335211,0
2,Kmeans,0.46425,0
2,Kmeans,0.496235,0
2,Kmeans,0.405721,0
2,Kmeans,0.240373,0
2,Kmeans,-0.095514,1
2,Kmeans,0.429196,0
2,Kmeans,0.429457,0
2,Kmeans,0.040654,1
2,Kmeans,0.319948,0
2,Kmeans,0.127535,1
2,Kmeans,-0.02597,1
2,Kmeans,0.298647,1
2,Kmeans,0.399947,0
2,Kmeans,0.141779,1
2,Kmeans,0.465886,0
2,Kmeans,0.201808,1
2,Kmeans,0.316823,0
2,Kmeans,-0.058668,1
2,Kmeans,0.420446,0
2,Kmeans,0.489685,0
2,Kmeans,0.452735,0
2,Kmeans,0.261662,0
2,Kmeans,0.433344,0
2,Kmeans,0.435574,0
2,Kmeans,0.399047,0
2,Kmeans,0.479238,0
2,Kmeans,-0.059411,1
2,Kmeans,0.383568,0
2,Kmeans,0.233041,0
2,Kmeans,0.410078,0
2,Kmeans,0.18883,1
2,Kmeans,0.18745,1
2,Kmeans,0.197363,1
2,Kmeans,0.385161,0
2,Kmeans,0.388157,0
2,Kmeans,0.199581,1
2,Kmeans,0.474981,0
2,Kmeans,0.173754,0
2,Kmeans,0.324836,0
2,Kmeans,0.388579,0
2,Kmeans,0.228208,0
2,Kmeans,0.280874,0
2,Kmeans,0.46053,0
2,Kmeans,0.401486,0
2,Kmeans,0.248725,0
2,Kmeans,0.324975,0
2,Kmeans,0.016286,1
2,Kmeans,0.335796,0
2,Kmeans,0.013094,1
