k,GMM,Kmeans
2,0.24163320162726043,0.2752172543067109
3,0.12504188069990105,0.28561434240315187
4,0.13640002712355218,0.19169108958564798
5,0.09894965921603022,0.20782458759171346
6,0.10329323746614681,0.18921980060401095
7,0.1340171478227991,0.17017809218160782
8,0.0592313926895938,0.16778126342196473
9,0.084200474425558,0.1845908195830653
10,0.08308054568419074,0.161789921516416
15,0.07222756485398764,0.1394259037525506
20,0.019313879646179734,0.15294162496764896
25,0.08195078438589584,0.151350048794003
30,0.02254869954832644,0.15674380886365893
35,0.06964466569706503,0.1561043600890622
40,0.08497929861178033,0.15046628938916093
