k,GMM,Kmeans
2,0.2971014492753623,0.2777777777777778
3,0.3961352657004831,0.3164251207729469
4,0.3864734299516908,0.357487922705314
5,0.4227053140096618,0.36231884057971014
6,0.3864734299516908,0.4057971014492754
7,0.4468599033816425,0.40096618357487923
8,0.45893719806763283,0.45410628019323673
9,0.4323671497584541,0.4420289855072464
10,0.4444444444444444,0.4613526570048309
15,0.5144927536231884,0.5531400966183575
20,0.5217391304347826,0.5772946859903382
25,0.5772946859903382,0.5555555555555556
30,0.5942028985507246,0.5917874396135265
35,0.6183574879227053,0.6159420289855072
40,0.6159420289855072,0.6231884057971014
