k,GMM,Kmeans
2,0.02731479327969187,0.0010788285565746887
3,0.14270483797958516,0.022165600161245032
4,0.12443382865934681,0.06808377781441514
5,0.1697026351227022,0.06533601333246518
6,0.13145073498182072,0.12071549145647942
7,0.15702679445833848,0.11135192955865973
8,0.1454727952883401,0.11644391289054642
9,0.13409037023355527,0.10363149635623808
10,0.12711125366049103,0.10563993450781883
15,0.1458610140031739,0.13148876501851237
20,0.12756236288314238,0.14760941983262152
25,0.15456031083336091,0.13026498294471964
30,0.1394019036101267,0.13087555558099187
35,0.13640259257025353,0.13047041854392832
40,0.1338179321248482,0.13479571321105419
