k,type,score,label
2,Kmeans,0.074072,1
2,Kmeans,0.134649,0
2,Kmeans,0.34741,0
2,Kmeans,0.33068,1
2,Kmeans,0.435776,0
2,Kmeans,0.090956,0
2,Kmeans,0.081685,1
2,Kmeans,0.419095,1
2,Kmeans,0.345485,0
2,Kmeans,0.282392,0
2,Kmeans,0.476647,1
2,Kmeans,0.483085,1
2,Kmeans,0.095885,1
2,Kmeans,0.342981,0
2,Kmeans,0.355639,0
2,Kmeans,0.114927,0
2,Kmeans,0.361252,0
2,Kmeans,0.351361,0
2,Kmeans,0.214137,0
2,Kmeans,0.160333,0
2,Kmeans,0.446415,1
2,Kmeans,0.073232,1
2,Kmeans,0.503314,1
2,Kmeans,0.318911,1
2,Kmeans,0.164398,0
2,Kmeans,0.128296,1
2,Kmeans,0.431981,0
2,Kmeans,0.396909,0
2,Kmeans,0.253294,0
2,Kmeans,0.479913,0
2,Kmeans,0.035964,0
2,Kmeans,0.248936,1
2,Kmeans,0.322532,1
2,Kmeans,0.321089,0
2,Kmeans,0.505179,1
2,Kmeans,0.198624,1
2,Kmeans,0.391885,0
2,Kmeans,0.424768,1
2,Kmeans,0.340406,0
2,Kmeans,0.209503,1
2,Kmeans,0.427902,0
2,Kmeans,0.077142,0
2,Kmeans,0.374006,0
2,Kmeans,0.486741,0
2,Kmeans,0.306257,0
2,Kmeans,0.404422,1
2,Kmeans,0.296179,0
2,Kmeans,0.444885,0
2,Kmeans,0.428835,0
2,Kmeans,0.374801,0
2,Kmeans,0.066633,0
2,Kmeans,0.357931,0
2,Kmeans,0.467705,0
2,Kmeans,0.376711,0
2,Kmeans,0.458677,0
2,Kmeans,0.463666,1
2,Kmeans,0.46762,0
2,Kmeans,0.441552,0
2,Kmeans,0.121847,0
2,Kmeans,0.493217,1
2,Kmeans,0.348136,0
2,Kmeans,0.43896,0
2,Kmeans,0.455989,1
2,Kmeans,0.472566,1
2,Kmeans,0.444392,0
2,Kmeans,0.259358,1
2,Kmeans,0.379086,1
2,Kmeans,0.276,0
2,Kmeans,0.457309,0
2,Kmeans,0.343232,1
2,Kmeans,0.49461,1
2,Kmeans,0.471315,0
2,Kmeans,0.365545,0
2,Kmeans,0.167602,0
2,Kmeans,0.240654,1
2,Kmeans,0.134945,0
2,Kmeans,0.400467,0
2,Kmeans,0.137906,0
2,Kmeans,0.299353,0
2,Kmeans,0.290501,0
2,Kmeans,0.012178,0
2,Kmeans,0.30961,0
2,Kmeans,0.435786,0
2,Kmeans,0.032363,0
2,Kmeans,0.289158,0
2,Kmeans,0.430254,1
2,Kmeans,0.340747,0
2,Kmeans,0.416293,0
2,Kmeans,0.039658,0
2,Kmeans,0.392266,0
2,Kmeans,0.332629,0
2,Kmeans,0.328196,0
2,Kmeans,0.329697,1
2,Kmeans,0.197184,0
2,Kmeans,0.370606,0
2,Kmeans,0.314942,0
2,Kmeans,0.437262,0
2,Kmeans,0.081092,0
2,Kmeans,0.36147,0
2,Kmeans,0.287378,0
2,Kmeans,0.023711,0
2,Kmeans,0.227482,1
2,Kmeans,0.038895,0
2,Kmeans,0.439443,1
2,Kmeans,0.275907,1
2,Kmeans,0.271788,1
2,Kmeans,0.170356,0
2,Kmeans,0.39497,0
2,Kmeans,0.421031,0
2,Kmeans,0.299367,1
2,Kmeans,0.257699,0
2,Kmeans,0.363448,1
2,Kmeans,0.283244,0
2,Kmeans,0.158577,0
2,Kmeans,0.351383,1
2,Kmeans,0.07521,0
2,Kmeans,0.423498,1
2,Kmeans,0.353549,0
2,Kmeans,0.521205,1
2,Kmeans,0.433935,0
2,Kmeans,0.177005,0
2,Kmeans,0.080186,1
2,Kmeans,0.221272,1
2,Kmeans,0.413316,0
2,Kmeans,0.17631,0
2,Kmeans,0.324606,0
2,Kmeans,0.394989,0
2,Kmeans,0.392242,0
2,Kmeans,0.470093,1
2,Kmeans,0.454366,0
2,Kmeans,0.486476,1
2,Kmeans,0.410283,0
2,Kmeans,0.411354,1
2,Kmeans,0.262486,1
2,Kmeans,0.470772,0
2,Kmeans,0.355198,1
2,Kmeans,0.400739,1
2,Kmeans,0.263516,1
2,Kmeans,0.29939,0
2,Kmeans,0.139405,1
2,Kmeans,0.382068,0
2,Kmeans,0.094178,0
2,Kmeans,0.180948,1
2,Kmeans,0.389758,0
2,Kmeans,0.320282,1
2,Kmeans,0.26597,1
2,Kmeans,0.408387,1
2,Kmeans,0.350217,0
2,Kmeans,0.429346,0
2,Kmeans,0.266748,0
2,Kmeans,0.456242,1
2,Kmeans,0.371208,1
2,Kmeans,0.3694,0
2,Kmeans,0.382622,1
2,Kmeans,0.214755,1
2,Kmeans,0.126342,0
2,Kmeans,0.413836,1
2,Kmeans,0.10172,0
2,Kmeans,0.119379,1
2,Kmeans,0.05934,1
2,Kmeans,0.363433,1
2,Kmeans,0.328474,0
2,Kmeans,0.184823,0
2,Kmeans,0.104463,0
2,Kmeans,0.223149,0
2,Kmeans,0.455694,1
2,Kmeans,0.368571,0
2,Kmeans,0.064671,1
2,Kmeans,0.469529,0
2,Kmeans,0.453183,1
2,Kmeans,0.258693,0
2,Kmeans,0.43204,1
2,Kmeans,0.33624,1
2,Kmeans,0.012515,0
2,Kmeans,0.454999,1
2,Kmeans,0.251104,0
2,Kmeans,0.365969,0
2,Kmeans,0.25656,0
2,Kmeans,0.108355,0
2,Kmeans,0.104828,0
2,Kmeans,0.266098,1
2,Kmeans,0.025457,0
2,Kmeans,0.364753,1
2,Kmeans,0.216578,0
2,Kmeans,0.139126,1
2,Kmeans,0.378482,0
2,Kmeans,0.443414,0
2,Kmeans,0.344775,1
2,Kmeans,0.294572,1
2,Kmeans,0.192837,0
2,Kmeans,0.427968,0
2,Kmeans,0.18364,1
2,Kmeans,0.278639,0
2,Kmeans,0.474315,0
2,Kmeans,0.46356,0
2,Kmeans,0.484553,1
2,Kmeans,0.471002,0
2,Kmeans,0.323072,0
2,Kmeans,0.285931,0
2,Kmeans,0.442859,1
2,Kmeans,0.055828,0
2,Kmeans,0.387715,0
2,Kmeans,0.282913,0
2,Kmeans,0.278168,0
2,Kmeans,0.444146,0
2,Kmeans,0.111641,1
2,Kmeans,0.40783,0
2,Kmeans,0.434628,0
2,Kmeans,0.391758,0
2,Kmeans,0.320973,0
2,Kmeans,0.460282,0
2,Kmeans,0.356555,1
2,Kmeans,0.227468,0
2,Kmeans,0.341063,0
2,Kmeans,0.356078,1
2,Kmeans,0.514665,1
2,Kmeans,0.2458,0
2,Kmeans,0.479451,1
2,Kmeans,0.263013,1
2,Kmeans,0.153422,1
2,Kmeans,0.352696,0
2,Kmeans,0.325708,1
2,Kmeans,0.347737,0
2,Kmeans,0.304094,0
2,Kmeans,0.450488,1
2,Kmeans,0.321653,1
2,Kmeans,0.372427,0
2,Kmeans,0.075103,1
2,Kmeans,0.258595,1
2,Kmeans,0.195713,1
2,Kmeans,0.406353,0
2,Kmeans,0.319654,0
2,Kmeans,0.231984,0
2,Kmeans,0.357796,0
2,Kmeans,0.483269,1
2,Kmeans,0.49825,1
2,Kmeans,0.288367,0
2,Kmeans,0.504825,1
2,Kmeans,0.418854,1
2,Kmeans,0.280232,0
2,Kmeans,0.09837,0
2,Kmeans,0.153187,0
2,Kmeans,0.33857,0
2,Kmeans,0.487739,0
2,Kmeans,0.335322,0
2,Kmeans,0.136652,1
2,Kmeans,-0.010441,0
2,Kmeans,0.179821,1
2,Kmeans,0.502364,1
2,Kmeans,0.134954,1
2,Kmeans,0.215006,0
2,Kmeans,0.449816,1
2,Kmeans,0.218467,0
2,Kmeans,0.148884,1
2,Kmeans,0.011059,0
2,Kmeans,0.505096,1
2,Kmeans,0.45393,0
2,Kmeans,0.313544,1
2,Kmeans,0.449807,0
2,Kmeans,0.115172,1
2,Kmeans,0.292493,0
2,Kmeans,0.250729,0
2,Kmeans,0.374338,1
2,Kmeans,0.184904,0
2,Kmeans,0.38311,0
2,Kmeans,0.180673,1
2,Kmeans,0.463984,1
2,Kmeans,0.461625,0
2,Kmeans,0.397587,1
2,Kmeans,0.48245,1
2,Kmeans,0.367974,1
2,Kmeans,0.409378,0
2,Kmeans,0.438157,0
2,Kmeans,0.477775,1
2,Kmeans,0.166358,1
2,Kmeans,0.00416,0
2,Kmeans,0.273289,0
2,Kmeans,0.070706,0
2,Kmeans,0.421147,1
2,Kmeans,0.278882,0
2,Kmeans,0.273982,0
2,Kmeans,0.25429,0
2,Kmeans,0.208944,0
2,Kmeans,0.125108,0
2,Kmeans,0.457195,0
2,Kmeans,0.526157,1
2,Kmeans,-0.001797,0
2,Kmeans,0.447605,0
2,Kmeans,0.44618,1
2,Kmeans,0.459635,1
2,Kmeans,0.374771,0
2,Kmeans,0.328594,0
2,Kmeans,0.18391,1
2,Kmeans,0.394088,1
2,Kmeans,0.484627,1
2,Kmeans,0.31939,0
2,Kmeans,0.496891,1
2,Kmeans,0.277305,1
2,Kmeans,0.079957,0
2,Kmeans,0.261438,0
2,Kmeans,0.007569,0
2,Kmeans,0.250446,0
2,Kmeans,0.128405,1
2,Kmeans,0.124578,1
2,Kmeans,0.307336,1
2,Kmeans,0.299455,0
2,Kmeans,0.381365,1
2,Kmeans,0.255589,0
2,Kmeans,0.348596,0
2,Kmeans,0.302703,1
2,Kmeans,0.064249,0
2,Kmeans,0.257107,0
2,Kmeans,0.357109,0
2,Kmeans,0.483264,0
2,Kmeans,0.449542,0
2,Kmeans,0.457431,0
2,Kmeans,0.28218,0
2,Kmeans,0.230571,0
2,Kmeans,0.208602,0
2,Kmeans,0.290387,0
2,Kmeans,0.307741,0
2,Kmeans,0.256898,0
2,Kmeans,0.201695,1
2,Kmeans,0.255536,0
2,Kmeans,0.400478,0
2,Kmeans,0.455197,0
2,Kmeans,0.284617,1
2,Kmeans,0.446198,1
2,Kmeans,0.361258,0
2,Kmeans,0.400816,0
2,Kmeans,0.267636,0
2,Kmeans,0.179839,1
2,Kmeans,0.447167,0
2,Kmeans,0.381134,0
2,Kmeans,0.106814,1
2,Kmeans,0.457958,0
2,Kmeans,0.223034,1
2,Kmeans,0.064504,0
2,Kmeans,0.315195,0
2,Kmeans,0.335347,1
2,Kmeans,0.162855,0
2,Kmeans,0.447685,0
2,Kmeans,0.363072,0
2,Kmeans,0.476757,0
2,Kmeans,0.509626,1
2,Kmeans,0.355111,0
2,Kmeans,0.380368,0
2,Kmeans,0.35659,0
2,Kmeans,0.044665,1
2,Kmeans,0.05128,0
2,Kmeans,0.117791,1
2,Kmeans,0.052874,1
2,Kmeans,0.357858,1
2,Kmeans,0.094316,0
2,Kmeans,0.099591,0
2,Kmeans,0.31517,1
2,Kmeans,0.250222,0
2,Kmeans,0.316543,0
2,Kmeans,0.488062,1
2,Kmeans,0.472309,0
2,Kmeans,0.379444,0
2,Kmeans,0.294142,0
2,Kmeans,0.422739,1
2,Kmeans,0.438725,0
2,Kmeans,0.317116,0
2,Kmeans,0.362758,0
2,Kmeans,0.361566,0
2,Kmeans,0.143157,1
2,Kmeans,0.226913,0
2,Kmeans,0.40248,1
2,Kmeans,0.31177,0
2,Kmeans,0.312466,0
2,Kmeans,0.249976,1
2,Kmeans,0.08899,1
2,Kmeans,0.039602,0
2,Kmeans,0.286798,0
2,Kmeans,-0.023225,0
2,Kmeans,0.367286,1
2,Kmeans,0.078928,0
2,Kmeans,0.248376,0
2,Kmeans,0.306646,0
2,Kmeans,0.149324,1
2,Kmeans,0.303248,1
2,Kmeans,0.490968,1
2,Kmeans,0.476746,0
2,Kmeans,0.035473,1
2,Kmeans,0.321662,1
2,Kmeans,0.340033,1
2,Kmeans,0.454941,1
2,Kmeans,0.024732,0
2,Kmeans,0.355228,0
2,Kmeans,0.149422,1
2,Kmeans,0.515373,1
2,Kmeans,0.373953,1
2,Kmeans,0.182325,0
2,Kmeans,0.348023,1
2,Kmeans,0.046741,1
2,Kmeans,0.123666,0
2,Kmeans,0.433676,1
2,Kmeans,0.484868,1
2,Kmeans,0.365485,0
2,Kmeans,0.330316,0
2,Kmeans,0.081761,0
2,Kmeans,0.423365,1
2,Kmeans,0.452482,1
2,Kmeans,0.318431,0
2,Kmeans,0.324849,0
2,Kmeans,0.137293,0
2,Kmeans,0.45352,1
2,Kmeans,0.46438,0
2,Kmeans,0.392493,0
2,Kmeans,0.299763,0
2,Kmeans,0.394065,1
2,Kmeans,0.421574,1
2,GMM,0.432791,1
2,GMM,0.465095,1
2,GMM,0.478485,1
2,GMM,0.54689,1
2,GMM,0.259383,1
2,GMM,0.545671,1
2,GMM,0.467584,1
2,GMM,0.402559,1
2,GMM,0.484736,1
2,GMM,0.351624,1
2,GMM,0.501054,1
2,GMM,0.554277,1
2,GMM,0.525425,1
2,GMM,0.47956,1
2,GMM,0.380958,1
2,GMM,0.528759,1
2,GMM,0.033848,1
2,GMM,0.327213,1
2,GMM,0.238304,1
2,GMM,0.56628,1
2,GMM,0.516282,1
2,GMM,0.408571,1
2,GMM,0.494873,1
2,GMM,0.57964,1
2,GMM,0.483999,1
2,GMM,0.583917,1
2,GMM,0.381871,1
2,GMM,0.413881,1
2,GMM,0.482739,1
2,GMM,0.256798,1
2,GMM,0.531203,1
2,GMM,0.576783,1
2,GMM,0.541616,1
2,GMM,0.431521,1
2,GMM,0.55141,1
2,GMM,0.588516,1
2,GMM,0.120019,1
2,GMM,0.465624,1
2,GMM,0.398457,1
2,GMM,0.523877,1
2,GMM,0.386772,1
2,GMM,-0.118346,0
2,GMM,0.473045,1
2,GMM,0.284846,1
2,GMM,0.277952,1
2,GMM,0.579716,1
2,GMM,0.162767,1
2,GMM,0.345715,1
2,GMM,0.400822,1
2,GMM,0.199973,1
2,GMM,0.531471,1
2,GMM,0.409282,1
2,GMM,0.273978,1
2,GMM,0.326078,1
2,GMM,0.372238,1
2,GMM,0.542375,1
2,GMM,0.263773,1
2,GMM,0.276149,1
2,GMM,0.526997,1
2,GMM,0.484521,1
2,GMM,0.322472,1
2,GMM,0.226075,1
2,GMM,0.497137,1
2,GMM,0.475718,1
2,GMM,0.395233,1
2,GMM,0.551717,1
2,GMM,0.582038,1
2,GMM,0.265765,1
2,GMM,0.370819,1
2,GMM,0.56564,1
2,GMM,0.486006,1
2,GMM,0.181455,1
2,GMM,0.400406,1
2,GMM,0.454896,1
2,GMM,0.574797,1
2,GMM,0.416074,1
2,GMM,0.425589,1
2,GMM,0.524722,1
2,GMM,0.245491,0
2,GMM,0.358109,1
2,GMM,0.55803,1
2,GMM,0.303926,0
2,GMM,0.287364,1
2,GMM,-0.141663,0
2,GMM,0.394929,1
2,GMM,0.425528,1
2,GMM,0.455253,1
2,GMM,0.370943,1
2,GMM,0.342741,1
2,GMM,0.370306,1
2,GMM,0.511788,1
2,GMM,0.306752,0
2,GMM,0.496557,1
2,GMM,0.395702,1
2,GMM,0.449862,1
2,GMM,0.297924,0
2,GMM,0.36588,1
2,GMM,0.490056,1
2,GMM,0.232753,1
2,GMM,0.317239,1
2,GMM,0.558969,1
2,GMM,-0.411537,0
2,GMM,0.53999,1
2,GMM,0.488199,1
2,GMM,0.585695,1
2,GMM,0.594089,1
2,GMM,0.284979,1
2,GMM,0.243727,1
2,GMM,0.395258,1
2,GMM,0.570141,1
2,GMM,0.479465,1
2,GMM,0.575657,1
2,GMM,-0.225097,0
2,GMM,0.426555,1
2,GMM,0.525849,1
2,GMM,0.528323,1
2,GMM,0.536463,1
2,GMM,0.452395,1
2,GMM,0.532315,1
