k,GMM,Kmeans
2,0.43058690627267276,0.305786047904815
3,0.1385117219828098,0.24477432643826189
4,0.19498617593272918,0.2242267937495231
5,0.20742631608402357,0.23262029151647762
6,0.1904555849348176,0.25238235062248904
7,0.15177163357044632,0.24275955167025426
8,0.09791664074801852,0.23204721530583064
9,0.04545298817652353,0.23350520424532745
10,0.11704981246799645,0.22873636487150353
15,0.11267137328074214,0.23211043877239154
20,0.10568628782761577,0.2150445373621705
25,0.14801938759532446,0.21001488736427837
30,0.14499171686078033,0.20420944886524167
35,0.17803734269350818,0.21728195397554825
40,0.17463010865253203,0.2096167927404633
