steps,time,reward,delta,converged
1,0.0067899999999987415,1.1194551871559837,0.10622485871518939,False
2,0.009878999999999749,1.5416254545926664,5.2694626634114e-06,False
3,0.009908000000001138,1.541635584624082,5.2695084786257614e-06,False
4,0.009869000000000128,1.54163575210797,5.269508478752179e-06,False
5,0.009871999999999659,1.541635584624082,5.2695084786257614e-06,False
6,0.009864000000000317,1.54163575210797,5.269508478752179e-06,False
7,0.009885000000000588,1.541635584624082,5.2695084786257614e-06,False
8,0.009790999999999883,1.54163575210797,5.269508478752179e-06,False
9,0.009928999999999633,1.541635584624082,5.2695084786257614e-06,False
10,0.0099360000000015,1.54163575210797,5.269508478752179e-06,False
11,0.009983000000000075,1.541635584624082,5.2695084786257614e-06,False
12,0.009930999999999912,1.54163575210797,5.269508478752179e-06,True
