step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0038022813688212928,0.00022366360993066427,0.0,0.0008946544397226571,0.0038022813688212928,0.0
17,0.0,0.00021123785382340515,0.0,0.0008709559834426828,0.0038022813688212928,0.0
18,0.0,0.00020012007204322593,0.0,0.0008490375599598329,0.0038022813688212928,0.0
19,0.0,0.00019011406844106463,0.0,0.0008286880120799759,0.0038022813688212928,0.0
20,0.0,0.0001810610175629187,0.0,0.000809729486691939,0.0038022813688212928,0.0
21,0.0,0.00017283097131005876,0.0,0.0007920110084610854,0.0038022813688212928,0.0
22,0.0,0.00016531658125309968,0.0,0.0007754034980696693,0.0038022813688212928,0.0
23,0.0,0.00015842839036755386,0.0,0.0007597958687124081,0.0038022813688212928,0.0
24,0.0,0.0001520912547528517,0.0,0.0007450919369682671,0.0038022813688212928,0.0
25,0.0,0.00014624159110851126,0.0,0.0007312079555425563,0.0038022813688212928,0.0
26,0.0,0.0001408252358822701,0.0,0.000718070625770002,0.0038022813688212928,0.0
27,0.0,0.00013579576317218902,0.0,0.000705615483800466,0.0038022813688212928,0.0
28,0.0,0.0001311131506490101,0.0,0.0006937855804548552,0.0038022813688212928,0.0
29,0.0,0.00012674271229404308,0.0,0.0006825303938066546,0.0038022813688212928,0.0
30,0.0,0.00012265423770391266,0.0,0.0006718049276403362,0.0038022813688212928,0.0
31,0.0,0.0001188212927756654,0.0,0.0006615689594617421,0.0038022813688212928,0.0
32,0.0,0.00011522064754003918,0.0,0.0006517864096661344,0.0038022813688212928,0.0
33,0.0,0.00011183180496533214,0.0,0.0006424248094987731,0.0038022813688212928,0.0
34,0.0,0.00010863661053775122,0.0,0.0006334548500646713,0.0038022813688212928,0.0
35,0.0,0.00010561892691170258,0.0,0.0006248499982149996,0.0038022813688212928,0.0
36,0.0,0.0001027643613194944,0.0,0.0006165861679169664,0.0038022813688212928,0.0
37,0.0,0.00010006003602161297,0.0,0.0006086414378925574,0.0038022813688212928,0.0
38,0.0,9.749439407234084e-05,0.0,0.0006009958080305134,0.0038022813688212928,0.0
39,0.0,9.505703422053231e-05,0.0,0.0005936309884409124,0.0038022813688212928,0.0
40,0.0,9.273856997125104e-05,0.0,0.0005865302161120985,0.0038022813688212928,0.0
41,0.0,9.053050878145935e-05,0.0,0.0005796780950056898,0.0038022813688212928,0.0
42,0.0,8.842514811212309e-05,0.0,0.0005730604561329791,0.0038022813688212928,0.0
43,0.0072992700729927005,0.0002523079873139544,0.0,0.001214829553194285,0.0072992700729927005,0.0
44,0.0,0.0002467011431514221,0.0,0.0012018312118015997,0.0072992700729927005,0.0
45,0.0,0.00024133807482204332,0.0,0.0011892403508274691,0.0072992700729927005,0.0
46,0.0,0.00023620322216625516,0.0,0.0011770361713252077,0.0072992700729927005,0.0
47,0.0,0.00023128232170445818,0.0,0.0011651993267801524,0.0072992700729927005,0.0
48,0.0,0.00022656227432273453,0.0,0.0011537117956440632,0.0072992700729927005,0.0
49,0.0,0.00022203102883627986,0.0,0.00114255676723625,0.0072992700729927005,0.0
50,0.0,0.00021767747925125475,0.0,0.0011317185393916408,0.0072992700729927005,0.0
51,0.0,0.00021349137388103833,0.0,0.0011211824264574816,0.0072992700729927005,0.0
52,0.0,0.00020946323475120742,0.0,0.0011109346764282824,0.0072992700729927005,0.0
53,0.0,0.00020558428595951838,0.0,0.0011009623961685136,0.0072992700729927005,0.0
54,0.0,0.0002018463898511635,0.0,0.0010912534838090407,0.0072992700729927005,0.0
55,0.006993006993006993,0.00032311711490751757,0.0,0.0014065673292339876,0.0072992700729927005,0.0
56,0.0,0.00031744839359335063,0.0,0.001394819648170003,0.0072992700729927005,0.0
57,0.0,0.00031197514542794804,0.0,0.0013833603609057043,0.0072992700729927005,0.0
58,0.0,0.00030668743109866077,0.0,0.0013721779074205988,0.0072992700729927005,0.0
59,0.0,0.0003015759739136831,0.0,0.0013612613631475397,0.0072992700729927005,0.0
60,0.0,0.00029663210548886863,0.0,0.0013506003949913898,0.0072992700729927005,0.0
61,0.0,0.00029184771669066105,0.0,0.0013401852209898066,0.0072992700729927005,0.0
62,0.0,0.0002872152132511267,0.0,0.0013300065732674122,0.0072992700729927005,0.0
