params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.3030220000000003,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.2699630000000006,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",3.282008000000001,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",3.323136999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",3.299821999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.3741030000000016,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",3.4595020000000005,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",3.530842,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",3.861471999999999,100,0.00032015395344326146,0.0,0.0,0.0072992700729927005,0.0012842499788528053
"{""discount_factor"": 0.9}",4.217864999999996,100,0.0011274835770879604,0.0,0.0,0.009009009009009009,0.0023639456397740585
