episode,length,time,reward,delta
0,500.0,0.022223000000167303,-2085.0,-0.5106022552679023
1,500.0,0.02194799999983843,-1788.0,-1.0025641050552252
2,203.0,0.008982000000059998,-301.0,99.99985683528033
3,197.0,0.00863800000001902,-295.0,89.9998711517523
4,278.0,0.012220000000070286,-475.0,80.99988403657707
5,113.0,0.0049619999999777065,-13.0,72.89989563291935
6,445.0,0.019559000000072047,-1137.0,65.60990606962741
7,115.0,0.005047000000104163,-114.0,59.04891546266468
8,55.0,0.0025069999999232095,45.0,53.14402391639821
9,237.0,0.01040299999999661,-731.0,47.82962152475839
10,64.0,0.0028789999998934945,-63.0,43.04665937228255
11,83.0,0.003647000000000844,-82.0,38.74199343505429
12,217.0,0.009564000000182205,-414.0,34.86779409154886
13,120.0,0.005290000000059081,-317.0,31.381014682393968
14,129.0,0.005656000000044514,-227.0,28.24291321415457
15,47.0,0.0021860000001652224,-46.0,25.41862189273911
16,102.0,0.004480000000057771,-299.0,22.876759703465197
17,154.0,0.006726000000071508,-450.0,20.58908373311867
18,208.0,0.009047000000009575,-405.0,18.530175359806805
19,49.0,0.002268000000185566,51.0,16.67715782382612
20,69.0,0.0030610000001161097,-68.0,15.009442041443506
21,84.0,0.0037279999999100255,-83.0,13.50849783729916
22,40.0,0.0017909999999119464,60.0,12.157648053569247
23,72.0,0.0031709999998383864,28.0,10.94188324821232
24,179.0,0.007935000000088621,-475.0,9.847694923391089
25,30.0,0.0013690000000678992,70.0,8.862925431051977
26,166.0,0.007270999999946071,-363.0,7.976632887946778
27,83.0,0.003620999999839114,-82.0,7.178969599152097
28,86.0,0.0038250000000061846,-85.0,6.461072639236889
29,53.0,0.002388000000109969,47.0,5.814965375313207
30,12.0,0.0005710000000362925,88.0,5.233468837781885
31,102.0,0.00444100000004255,-200.0,4.7101219540036965
32,142.0,0.006225999999969645,-339.0,4.239109758603334
33,52.0,0.0023109999999633146,48.0,3.8151987827429963
34,31.0,0.0014370000001235894,69.0,3.4336789044686924
35,54.0,0.002380000000130167,46.0,3.0903110140218217
36,25.0,0.0011269999999967695,75.0,2.781279912619638
37,78.0,0.0034269999998741696,22.0,2.50315192135767
38,60.0,0.002658999999994194,-59.0,2.2528367292218974
39,94.0,0.004095000000006621,-291.0,2.027553056299709
40,28.0,0.0012569999998959247,72.0,1.824797750669731
41,63.0,0.002835000000004584,-62.0,1.6423179756027508
42,58.0,0.0025370000000748405,42.0,1.4780861780424743
43,30.0,0.0013460000000122818,70.0,1.3302775602382297
44,41.0,0.0018090000000938744,-40.0,1.1972498042144082
45,38.0,0.001694000000043161,62.0,1.0775248237929702
46,53.0,0.0023519999999734864,-52.0,0.9697723414136732
47,43.0,0.0019139999999424617,-42.0,0.8727951072723101
48,34.0,0.0015160000000378204,66.0,0.785515596545082
49,22.0,0.0010030000000824657,78.0,0.7069640368905681
50,116.0,0.0050630000000637665,-313.0,0.6362676332015127
51,55.0,0.0024479999999584834,-153.0,0.5726408698813685
52,98.0,0.004299000000173692,-196.0,0.5153767828932274
53,22.0,0.0010090000000673172,78.0,0.4638391046039061
54,39.0,0.0017410000000381842,61.0,0.41745519414351406
55,23.0,0.0010389999999915744,77.0,0.3757096747291655
56,23.0,0.001040999999986525,77.0,0.33813870725624895
57,41.0,0.0018250000000534783,59.0,0.3043248365306255
58,66.0,0.0029079999999339634,-164.0,0.2738923528775672
59,28.0,0.0013200000000779255,72.0,0.24650311758981047
60,34.0,0.0015130000001590815,66.0,0.2218528058308351
61,71.0,0.003169999999954598,-367.0,0.19966752524774734
62,30.0,0.0013750000000527507,70.0,0.17970077272296692
63,22.0,0.0010070000000723667,78.0,0.16173069545067165
64,23.0,0.0010580000000572909,77.0,0.14555762590561017
65,30.0,0.0013579999999819847,-29.0,0.13100186331504915
66,52.0,0.0023450000001048465,48.0,0.11790167698354992
67,42.0,0.0018629999999575375,-41.0,0.10611150928519919
68,99.0,0.004297999999835156,-395.0,0.09550035835667359
69,31.0,0.0014040000000932196,69.0,0.08595032252100054
70,62.0,0.0027700000000550062,-61.0,0.07735529026889765
71,46.0,0.0020730000001094595,-144.0,0.0696197612420093
72,32.0,0.0014519999999720312,68.0,0.06265778511780695
73,23.0,0.0010569999999461288,77.0,0.05639200660603194
74,33.0,0.0015129999999317079,67.0,0.05075280594543585
75,14.0,0.0006639999999151769,86.0,0.04567752535089653
76,16.0,0.0007449999998243584,84.0,0.04110977281580119
77,26.0,0.0012659999999868887,74.0,0.03699879553421681
78,15.0,0.0007089999999152496,85.0,0.03329891598079371
79,49.0,0.002155000000129803,-147.0,0.029969024382708653
80,14.0,0.000678000000107204,86.0,0.02697212194443921
81,15.0,0.000747999999930471,85.0,0.024274909749991025
82,15.0,0.0007069999999202992,85.0,0.021847418774996186
83,18.0,0.0008289999998396524,82.0,0.019662676897496567
84,30.0,0.0013590000000931468,-29.0,0.017696409207744068
85,22.0,0.0010009999998601415,78.0,0.015926768286973925
86,36.0,0.001598000000058164,-35.0,0.014334091458280795
87,23.0,0.001055000000178552,77.0,0.012900682312448453
88,16.0,0.0008000000000265572,84.0,0.01161061408120645
89,17.0,0.0007859999998345302,83.0,0.01044955267308012
90,22.0,0.0010110000000622676,78.0,0.009404597405776371
91,28.0,0.0012520000000222353,72.0,0.008464137665200155
92,15.0,0.0006980000000567088,85.0,0.007617723898675877
93,20.0,0.0009119999999711581,80.0,0.006855951508811131
94,38.0,0.0016949999999269494,-136.0,0.006170356357927176
95,31.0,0.001382999999805179,-30.0,0.005553320722128774
96,20.0,0.0009350000000267755,80.0,0.004997988649918739
97,15.0,0.0007059999998091371,85.0,0.004498189784925444
98,20.0,0.0009749999999257852,80.0,0.004048370806430057
99,21.0,0.0009639999998398707,79.0,0.003643533725792736
100,16.0,0.0007550000000264845,84.0,0.0032791803532177255
101,69.0,0.0030119999998987623,-266.0,0.0029512623178931108
102,26.0,0.0011859999999614956,-25.0,0.0026561360861023786
103,29.0,0.0013160000000880245,71.0,0.002390522477497825
104,21.0,0.0009580000000823929,79.0,0.0021514702297480426
105,23.0,0.00105400000006739,-22.0,0.0019363232067775016
106,12.0,0.0005670000000463915,88.0,0.0017426908861040147
107,20.0,0.0009079999999812571,-19.0,0.0015684217975007186
108,13.0,0.0006110000001626759,87.0,0.0014115796177520679
109,13.0,0.0006240000000161672,87.0,0.001270421655974019
110,15.0,0.0007040000000415603,-14.0,0.0011433794903723538
111,12.0,0.000573000000031243,88.0,0.001029041541329434
112,16.0,0.0007390000000668806,84.0,0.0009261373871964906
113,12.0,0.0005670000000463915,88.0,0.0008335236484811048
114,12.0,0.0005790000000160944,88.0,0.00075017128362731
115,20.0,0.0009130000000823202,-19.0,0.0006751541552603157
116,18.0,0.0008250000000771252,82.0,0.0006076387397371263
117,14.0,0.0006550000000515865,86.0,0.0005468748657619926
118,17.0,0.0007920000000467553,-16.0,0.000492187379180109
119,24.0,0.0011440000000675354,-122.0,0.0004429686412663614
120,13.0,0.0006109999999353022,87.0,0.0003986717771340409
121,14.0,0.0006579999999303254,86.0,0.00035880459941495246
122,26.0,0.001182999999855383,-25.0,0.0003229241394677729
123,14.0,0.0006619999999202264,86.0,0.0002906317255195745
124,16.0,0.0007500000001527951,-15.0,0.0002615685529718803
125,16.0,0.0007459999999355205,84.0,0.0002354116976732712
126,17.0,0.0008009999999103457,83.0,0.00021187052790594407
127,24.0,0.0010870000000977598,-23.0,0.0001906834751110864
128,25.0,0.00112200000012308,-24.0,0.00017161512759855668
129,21.0,0.0009689999999409338,-20.0,0.0001544536148401221
130,16.0,0.000739999999950669,84.0,0.0001390082533561099
131,24.0,0.0010839999999916472,-23.0,0.00012510742801907782
132,12.0,0.0005679999999301799,88.0,0.00011259668521290678
133,12.0,0.0005899999998746353,88.0,0.00010133701668735284
134,19.0,0.0008689999999660358,-18.0,9.120331502288082e-05
135,24.0,0.0011469999999462743,-23.0,8.208298352485599e-05
136,18.0,0.0008249999998497515,-116.0,7.38746851709493e-05
137,12.0,0.0005800000001272565,88.0,6.648721665669655e-05
138,12.0,0.0006149999999252032,88.0,5.983849499102689e-05
139,16.0,0.0007430000000567816,84.0,5.385464548623986e-05
140,31.0,0.001375999999936539,-228.0,4.846918093903696e-05
141,12.0,0.0005779999999049323,88.0,4.3622262850817606e-05
142,21.0,0.0009529999999813299,-20.0,3.926003655863042e-05
143,13.0,0.0006169999999201536,87.0,3.533403290134629e-05
144,30.0,0.0013400000000274304,-29.0,3.180062961405383e-05
145,13.0,0.0006149999999252032,-12.0,2.862056665264845e-05
146,15.0,0.0007630000000062864,-14.0,2.575850999164686e-05
147,12.0,0.0005800000001272565,88.0,2.3182658992482175e-05
148,14.0,0.0006640000001425506,86.0,2.0864393093233957e-05
149,33.0,0.0015149999999266583,-32.0,1.877795378391056e-05
150,12.0,0.0005739999999150314,88.0,1.6900158399835163e-05
151,14.0,0.000657000000046537,86.0,1.5210142564114904e-05
152,12.0,0.0005710000000362925,88.0,1.3689128309124499e-05
153,12.0,0.0005889999999908468,88.0,1.2320215475369878e-05
154,12.0,0.0005689999998139683,88.0,1.1088193929253976e-05
155,14.0,0.0007040000000415603,86.0,9.979374539170749e-06
156,12.0,0.0005700000001525041,88.0,8.981437090938016e-06
157,20.0,0.0009079999999812571,-19.0,8.083293380423129e-06
158,17.0,0.0008150000001023727,-115.0,7.274964048065158e-06
159,13.0,0.0006600000001526496,87.0,6.547467648942984e-06
160,18.0,0.0008310000000619766,-17.0,5.892720878364344e-06
161,12.0,0.000569000000041342,88.0,5.303448787685738e-06
162,14.0,0.000670000000127402,86.0,4.77310391033825e-06
163,16.0,0.0007370000000719301,84.0,4.295793516462254e-06
164,25.0,0.0011339999998654093,-24.0,3.866214157710601e-06
165,14.0,0.000657000000046537,86.0,3.479592734834114e-06
166,12.0,0.0005799999998998828,88.0,3.131633462771788e-06
