steps,time,reward,delta,converged
1,0.004965999999996029,0.0,0,False
2,0.0034160000000156288,0.0,0,False
3,0.0012330000000133623,0.0,0,False
4,0.0014170000000035543,0.0,0,False
5,0.00591500000001588,0.0,0,False
6,0.020114000000006627,0.0,0,False
7,0.004977999999994154,0.0,0,False
8,0.0006169999999769971,0.0,0,False
9,0.013314999999977317,0.0,0,False
10,0.001743000000004713,0.0,0,False
11,0.010950000000008231,0.0,0,False
12,0.02154600000000073,0.0,0,False
13,0.0027870000000120854,0.0,0,False
14,0.0016579999999919437,0.0,0,False
15,0.008526000000017575,0.0,0,False
16,0.00304199999999355,0.0,0,False
17,0.0022189999999966403,0.0,0,False
18,0.011943999999999733,0.0,0,False
19,0.01191199999999526,0.0,0,False
20,0.021583999999990056,0.0,0,False
21,0.00971199999997907,0.0,0,False
22,0.0019450000000063028,0.0,0,False
23,0.0046629999999936445,0.0,0,False
24,0.0029199999999889314,0.0,0,False
25,0.0006720000000086657,0.0,0,False
26,0.00756699999999455,0.0,0,False
27,0.006026999999988902,0.0,0,False
28,0.0018249999999966349,0.0,0,False
29,0.01683900000000449,0.0,0,False
30,0.02159000000000333,0.0,0,False
31,0.0004549999999881038,0.0,0,False
32,0.001700999999997066,0.0,0,False
33,0.009253000000001066,0.0,0,False
34,0.010827000000006137,0.0,0,False
35,0.00734800000000746,0.0,0,False
36,0.005049000000013848,0.0,0,False
37,0.0059399999999811826,0.0,0,False
38,0.004820000000023583,0.0,0,False
39,0.021532000000007656,0.0,0,False
40,0.0049960000000055516,0.0,0,False
41,0.006021000000004051,0.0,0,False
42,0.00361100000000647,0.0,0,False
43,0.013678999999996222,0.0,0,False
44,0.006020000000006576,0.0,0,False
45,0.004075000000000273,0.0,0,False
46,0.002585999999979549,0.0,0,False
47,0.008632000000005746,0.0,0,False
48,0.0068860000000086075,0.0,0,False
49,0.007014999999995553,0.0,0,False
50,0.010339000000016085,0.0,0,False
51,0.02150699999998551,0.0,0,False
52,0.009703999999999269,0.0,0,False
53,0.013823000000002139,0.0,0,False
54,0.005394999999992933,0.0,0,False
55,0.021392999999989115,0.0,0,False
56,0.019108999999986054,0.0,0,False
57,0.007647000000019943,0.0,0,False
58,0.002375000000000682,0.0,0,False
59,0.0029810000000054515,0.0,0,False
60,0.016956999999990785,0.0,0,False
61,0.021471000000019558,0.0,0,False
62,0.01380299999999579,0.0,0,False
63,0.012614999999982501,0.0,0,False
64,0.0014640000000269993,0.0,0,False
65,0.009558999999995876,0.0,0,False
66,0.012825000000020736,0.0,0,False
67,0.009893000000005259,0.0,0,False
68,0.0014209999999934553,0.0,0,False
69,0.021394999999984066,0.0,0,False
70,0.007190000000008467,0.0,0,False
71,0.015163999999998623,0.0,0,False
72,0.00946700000000078,0.0,0,False
73,0.011336000000000013,0.0,0,False
74,0.02140099999999734,0.0,0,False
75,0.007365999999990436,0.0,0,False
76,0.01127999999999929,0.0,0,False
77,0.02026499999999487,0.0,0,False
78,0.02143100000000686,0.0,0,False
79,0.021352000000007365,0.0,0,False
80,0.015389999999996462,0.0,0,False
81,0.0018070000000136588,0.0,0,False
82,0.02137700000000109,0.0,0,False
83,0.006355000000013433,0.0,0,False
84,0.021636999999998352,0.0,0,False
85,0.02150500000001898,0.0,0,False
86,0.021417000000013786,0.0,0,False
87,0.021396000000009963,0.0,0,False
88,0.002025000000003274,0.0,0,False
89,0.016199999999997772,0.0,0,False
90,0.0026210000000048694,0.0,0,False
91,0.021384000000011838,0.0,0,False
92,0.021370999999987816,0.0,0,False
93,0.007803999999993039,0.0,0,False
94,0.021377999999998565,0.0,0,False
95,0.02150100000000066,0.0,0,False
96,0.02143100000000686,0.0,0,False
97,0.011799999999993815,0.0,0,False
98,0.021415000000018836,0.0,0,False
99,0.02144200000000751,0.0,0,False
100,0.02143999999998414,0.0,0,False
101,0.0028480000000001837,0.0,0,False
102,0.021365000000002965,0.0,0,False
103,0.021415000000018836,0.0,0,False
104,0.021381000000019412,0.0,0,False
105,0.020106999999995878,0.0,0,False
106,0.02159199999999828,0.0,0,False
107,0.021476000000006934,0.0,0,False
108,0.021527999999989333,0.0,0,False
109,0.021623000000005277,0.0,0,False
110,0.021503999999993084,0.0,0,False
111,0.02154199999998241,0.0,0,False
112,0.021507999999982985,0.0,0,False
113,0.021581999999995105,0.0,0,False
114,0.021717000000023745,0.0,0,False
115,0.021623000000005277,0.0,0,False
116,0.0216490000000249,0.0,0,False
117,0.021552999999983058,0.0,0,False
118,0.02158299999999258,0.0,0,False
119,0.02155700000000138,0.0,0,False
120,0.02152000000000953,0.0,0,False
121,0.021512999999998783,0.0,0,False
122,0.021472999999986087,0.0,0,False
123,0.02154400000000578,0.0,0,False
124,0.02155499999997801,0.0,0,False
125,0.021512999999998783,0.0,0,False
126,0.02156200000001718,0.0,0,False
127,0.02152000000000953,0.0,0,False
128,0.0125940000000071,0.0,0,False
129,0.02153300000000513,0.0,0,False
130,0.0038800000000094315,0.0,0,False
131,0.021398000000004913,0.0,0,False
132,0.02135499999999979,0.0,0,False
133,0.021517000000017106,0.0,0,False
134,0.0216220000000078,0.0,0,False
135,0.021613999999999578,0.0,0,False
136,0.021530000000012706,0.0,0,False
137,0.021539999999987458,0.0,0,False
138,0.021415000000018836,0.0,0,False
139,0.021501999999998134,0.0,0,False
140,0.021542999999979884,0.0,0,False
141,0.021496000000013282,0.0,0,False
142,0.02150299999999561,0.0,0,False
143,0.021535999999997557,0.0,0,False
144,0.021603999999996404,0.0,0,False
145,0.02148099999999431,0.0,0,False
146,0.021572999999989406,0.0,0,False
147,0.021560000000022228,0.0,0,False
148,0.021523999999999432,0.0,0,False
149,0.02153300000000513,0.0,0,False
150,0.02156099999999128,0.0,0,False
151,0.021549999999990632,0.0,0,False
152,0.02152000000000953,0.0,0,False
153,0.02151400000002468,0.0,0,False
154,0.02160499999999388,0.0,0,False
155,0.02162199999997938,0.0,0,False
156,0.021554000000008955,0.0,0,False
157,0.021552999999983058,0.0,0,False
158,0.02153100000001018,0.0,0,False
159,0.021663999999987027,0.0,0,False
160,0.021526999999991858,0.0,0,False
161,0.02147500000000946,0.0,0,False
162,0.021600999999975556,0.0,0,False
163,0.021541000000013355,0.0,0,False
164,0.02154200000001083,0.0,0,False
165,0.02148699999997916,0.0,0,False
166,0.02147199999998861,0.0,0,False
167,0.02142699999998854,0.0,0,False
168,0.021460999999987962,0.0,0,False
169,0.021497000000010758,0.0,0,False
170,0.021494000000018332,0.0,0,False
171,0.02151599999999121,0.0,0,False
172,0.02143300000000181,0.0,0,False
173,0.021485000000012633,0.0,0,False
174,0.02147899999999936,0.0,0,False
175,0.02148699999997916,0.0,0,False
176,0.021473999999983562,0.0,0,False
177,0.021485999999981686,0.0,0,False
178,0.021436999999991713,0.0,0,False
179,0.02141799999998284,0.0,0,False
180,0.02144199999997909,0.0,0,False
181,0.021450000000015734,0.0,0,False
182,0.02143100000000686,0.0,0,False
183,0.021488999999974112,0.0,0,False
184,0.021552000000014004,0.0,0,False
185,0.021537999999992508,0.0,0,False
186,0.021597000000014077,0.0,0,False
187,0.021565999999978658,0.0,0,False
188,0.01391599999999471,0.0,0,False
189,0.021456000000000586,0.0,0,False
190,0.021546999999998206,0.0,0,False
191,0.021583999999990056,0.0,0,False
192,0.021516999999988684,0.0,0,False
193,0.0216220000000078,0.0,0,False
194,0.02157199999999193,0.0,0,False
195,0.021601000000003978,0.0,0,False
196,0.02151600000001963,0.0,0,False
197,0.02152900000001523,0.0,0,False
198,0.021494999999987385,0.0,0,False
199,0.02147500000000946,0.0,0,False
200,0.021511000000003833,0.0,0,True
