episode,length,time,reward,delta
0,8.0,0.0004729999999995016,0.0,0.0003938201002240652
1,12.0,0.0006130000000439395,0.0,-9.947713966670344e-05
2,135.0,0.0058760000000006585,0.0,-0.00021408668009896193
3,7.0,0.0003600000000005821,0.0,-0.0007046021482349866
4,64.0,0.002809000000013384,0.0,0.000271172512882608
5,32.0,0.001427999999975782,0.0,-9.813309044353049e-05
6,24.0,0.0010920000000282926,0.0,-0.00047065052068762277
7,36.0,0.001642000000003918,0.0,-0.00030719580299092843
8,9.0,0.00044199999996408224,0.0,-9.314380178514388e-05
9,23.0,0.0010509999999612774,0.0,-0.0006123450469698395
10,61.0,0.0027339999999753672,0.0,-0.00022133641000946397
11,79.0,0.0034049999999865577,0.0,3.9382010022406485e-05
12,10.0,0.0004870000000209984,0.0,-1.8021908766946524e-05
13,6.0,0.00031300000000555883,0.0,0.00031387807566372514
14,10.0,0.00048100000003614696,0.0,-9.314380178514388e-06
15,20.0,0.0009549999999762804,0.0,-0.00021194302560212632
16,45.0,0.002001000000007025,0.0,-2.2924342428177216e-05
17,6.0,0.000321999999982836,0.0,0.00040147569915178853
18,23.0,0.0010350000000016735,0.0,-0.0001311733958657569
19,34.0,0.0015060000000062246,0.0,0.00038661668909618116
20,26.0,0.0011580000000321888,0.0,0.00039017477966291823
21,21.0,0.0009929999999940264,0.0,3.901747796629184e-05
22,28.0,0.0012469999999780157,0.0,0.0004072580605076381
23,26.0,0.001159999999970296,0.0,0.00045816089747482296
24,26.0,0.0011870000000158143,0.0,0.0003813541618365593
25,11.0,0.0005219999999894753,0.0,0.00040730944777560307
26,34.0,0.0015649999999709507,0.0,3.813541618365591e-05
27,10.0,0.0004819999999767788,0.0,0.0003872629912719709
28,17.0,0.0007889999999974862,0.0,-2.2133641000946413e-05
29,7.0,0.00035200000002078013,0.0,0.00038822471598703133
30,27.0,0.0012010000000373111,0.0,-2.213364100094625e-06
31,31.0,0.0013789999999858082,0.0,0.0003472960407803644
32,48.0,0.002099000000043816,0.0,0.00016232758346196194
33,8.0,0.00039199999997663326,0.0,0.00016402102054981785
34,33.0,0.0014750000000276486,0.0,0.0003461557218321419
35,24.0,0.001132999999981621,0.0,-0.00016447716205011552
36,10.0,0.0004820000000336222,0.0,0.0004202538472212981
37,27.0,0.0013730000000009568,0.0,-2.2133641000945167e-07
38,12.0,0.0006200000000262662,0.0,0.0003935725004716176
39,28.0,0.0012540000000171858,0.0,0.0004500122627042443
40,5.0,0.00027000000000043656,0.0,0.0003782284377395684
41,25.0,0.00112899999999172,0.0,-1.6447716205011584e-05
42,17.0,0.0007799999999633656,0.0,0.0004536697174656892
43,20.0,0.0009060000000431501,0.0,3.782284377395681e-05
44,18.0,0.0008290000000101827,0.0,-1.0004620937934135e-05
45,26.0,0.0011529999999879692,0.0,3.461557218321416e-05
46,18.0,0.0008150000000455293,0.0,-7.671289831037985e-05
47,16.0,0.0007319999999708671,0.0,0.00040263389806461123
48,53.0,0.002299999999991087,0.0,1.6402102054981758e-05
49,38.0,0.0016600000000153159,0.0,1.640210205498154e-06
50,30.0,0.0013150000000337059,0.0,0.0003677567929720363
51,35.0,0.0015260000000125729,0.0,-2.2924342428177135e-06
52,37.0,0.0016889999999989413,0.0,0.000431284734778778
53,18.0,0.0008819999999900574,0.0,0.0003110011339689795
54,133.0,0.005681999999978871,0.0,0.0003392027189575543
55,37.0,0.0016130000000202926,0.0,0.000442019942491928
56,25.0,0.001105999999992946,0.0,-8.596881575533756e-05
57,9.0,0.00043499999998175554,0.0,4.42019942491928e-05
58,9.0,0.00043499999998175554,0.0,4.420199424919275e-06
59,16.0,0.0007400000000075124,0.0,-4.706505206876228e-05
