steps,time,reward,delta,converged
1,0.01837199999999939,0.0,0,False
2,0.007195000000024265,0.0,0,False
3,0.011900999999966189,0.0,0,False
4,0.016415000000051805,0.0,0,False
5,0.0028930000000855216,0.0,0,False
6,0.011427000000026055,0.0,0,False
7,0.007002000000056796,0.0,0,False
8,0.0071580000000039945,0.0,0,False
9,0.001471999999921536,0.0,0,False
10,0.008364000000028682,0.0,0,False
11,0.006064999999921383,0.0,0,False
12,0.0018170000000736763,0.0,0,False
13,0.005606000000057065,0.0,0,False
14,0.01070300000003499,0.0,0,False
15,0.0063180000000784275,0.0,0,False
16,0.001546999999959553,0.0,0,False
17,0.0037869999999884385,0.0,0,False
18,0.00395000000003165,0.0,0,False
19,0.021568999999999505,0.0,0,False
20,0.005758999999898151,0.0,0,False
21,0.0030090000000200234,0.0,0,False
22,0.004061999999976251,0.0,0,False
23,0.004666000000042914,0.0,0,False
24,0.007808999999951993,0.0,0,False
25,0.006215999999994892,0.0,0,False
26,0.0020299999999906504,0.0,0,False
27,0.0020049999999400825,0.0,0,False
28,0.004133999999908156,0.0,0,False
29,0.006385000000022956,0.0,0,False
30,0.0031860000000278887,0.0,0,False
31,0.011943999999971311,0.0,0,False
32,0.020875000000046384,0.0,0,False
33,0.010278999999968619,0.0,0,False
34,0.013616999999953805,0.0,0,False
35,0.0019959999999628053,0.0,0,False
36,0.0022020000000111395,0.0,0,False
37,0.021608000000014727,0.0,0,False
38,0.00823400000001584,0.0,0,False
39,0.0016219999999975698,0.0,0,False
40,0.0032280000000355358,0.0,0,False
41,0.002730999999926098,0.0,0,False
42,0.006196000000045387,0.0,0,False
43,0.01173099999994065,0.0,0,False
44,0.005943999999999505,0.0,0,False
45,0.00368500000001859,0.0,0,False
46,0.014470999999957712,0.0,0,False
47,0.0016409999999495994,0.0,0,False
48,0.00197400000001835,0.0,0,False
49,0.010166000000026543,0.0,0,False
50,0.009883999999942716,0.0,0,False
51,0.0192419999999629,0.0,0,False
52,0.01998500000001968,0.0,0,False
53,0.006946999999968284,0.0,0,False
54,0.005120000000033542,0.0,0,False
55,0.011536999999975706,0.0,0,False
56,0.009152000000085536,0.0,0,False
57,0.003923999999983607,0.0,0,False
58,0.00153499999998985,0.0,0,False
59,0.005424999999945612,0.0,0,False
60,0.012748999999985244,0.0,0,False
61,0.02156200000001718,0.0,0,False
62,0.003504000000020824,0.0,0,False
63,0.0070739999999887004,0.0,0,False
64,0.004383999999959087,0.0,0,False
65,0.003102999999896383,0.0,0,False
66,0.009372999999982312,0.0,0,False
67,0.006824000000051456,0.0,0,False
68,0.014216000000033091,0.0,0,False
69,0.0020860000000766377,0.0,0,False
70,0.004324999999994361,0.0,0,False
