params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",1.688170999999997,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.1}",1.6622140000000059,100,-1.0,-1.0,-1.0,-1.0,0.0
"{""discount_factor"": 0.2}",1.3321190000000058,100,-2.09423076923077,6.769230769230769,-13.375,6.769230769230769,9.99933318782725
"{""discount_factor"": 0.3}",1.4090010000000035,100,-4.511538461538461,-13.375,-13.375,6.769230769230769,9.99933318782725
"{""discount_factor"": 0.4}",1.4096190000000064,100,-4.310096153846154,-13.375,-13.375,6.769230769230769,10.021628272780621
"{""discount_factor"": 0.5}",1.3644140000000107,100,-2.698557692307692,6.769230769230769,-13.375,6.769230769230769,10.053969230659614
"{""discount_factor"": 0.6}",1.4617530000000016,100,-3.3028846153846154,-3.3028846153846154,-13.375,6.769230769230769,10.072115384615383
"{""discount_factor"": 0.7}",1.4480990000000133,100,-4.712980769230769,-13.375,-13.375,6.769230769230769,9.972920192095904
"{""discount_factor"": 0.8}",1.3789060000000006,100,-1.6913461538461536,6.769230769230769,-13.375,6.769230769230769,9.94235646655199
"{""discount_factor"": 0.9}",1.4624510000000015,100,-2.497115384615385,6.769230769230769,-13.375,6.769230769230769,10.03983288046925
