steps,time,reward,delta,converged
1,0.0007109999999954653,0.6666666666666666,0.3333333333333333,False
2,0.0006779999999935171,0.9074074074074073,0.06481481481481483,False
3,0.0006689999999878182,1.007201646090535,0.021604938271604923,False
4,0.0007019999999897664,1.0470893347050754,0.006901577503429374,False
5,0.0006669999999928677,1.0633142734212264,0.002257658893461365,False
6,0.0006690000000020291,1.0699687320505709,0.0008378899303967888,False
7,0.0006789999999909924,1.072686287944348,0.0002952504664205449,False
8,0.0006659999999953925,1.0738035292838894,0.00011177690850207355,False
9,0.0006649999999979173,1.0742670581897327,4.162836466938685e-05,False
10,0.0006630000000029668,1.0744608191371658,1.5796757114006576e-05,False
11,0.0006790000000052032,1.0745422626803998,6.087747930206156e-06,True
