params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.2126169999999945,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.2246820000000014,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",3.2246009999999927,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",3.2242940000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",3.2409839999999974,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.241574,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",3.272431999999995,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",3.3348060000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",3.3302580000000006,100,0.0001334206956988364,0.0,0.0,0.005494505494505495,0.000705879752454795
"{""discount_factor"": 0.9}",3.483165999999997,100,0.0011133500413694115,0.0,0.0,0.009174311926605505,0.00226025202347826
